год,тема ,описание полное 
2014, Разработка стратегии развития ООО ХХХХ,"ООО XXXX оказывает услуги по управлению недвижимостью на рынке B2B.  
На сегодняшний день компания оказывает следующие виды услуг:
•	Эксплуатация недвижимости;
•	Управление коммерческой недвижимостью;
•	Комплексное обслуживание зданий;
•	Уборка помещений;
•	Технический надзор;
•	Прочистка канализации.
С 2006 года компания динамично развивалась, увеличивая свою рыночную долю, но за период с 2012-2013 годы никаких качественных изменений в работе предприятия не произошло. Рынок управления коммерческой недвижимостью на данный момент является насыщенным и высоко конкурентным. Для того чтобы сохранить рыночную долю, выйти на качественно новый уровень работы и соответствовать ожиданиям собственников компании, руководство ООО XXXX активно занимается разработкой стратегии для дальнейшего развития и оптимизации работы.
Для формирования возможных стратегий был проведен анализ внутренней и внешней среды компании с использованием таких инструментов, как PEST-анализ, анализ 5 сил конкуренции Майкла Портера, 4Р, SWOT-анализ и SWOT-8.
Проведённый анализ внешней и внутренней среды компании позволил выйти на стратегию развития ООО XXXX и сформировать портфель проектов для её реализации.
В работе представлен бизнес-план по одному из проектов на основе стратегии концентрированного роста.
Согласно представленному бизнес-плану при вложении 1 787 400 рублей, можно выйти на новый для ООО XXXX рынок и в течение 3-х лет работы получить чистую прибыль в размере более 3 млн. руб. Период окупаемости проекта составляет 23 месяца.
"
2014,Разработка стратегии развития ООО ХХХХ,"Аттестационная работа посвящена актуальной для ООО ХХХХ проблеме, а именно разработке стратегии выведения нового продукта на рынок.
Компания ООО ХХХХ су¬ществует с 2005 г и имеет штат 45 человек. В данный момент организация занимается производством хлеба, хлебобулочных и мучных кондитерских изделий, однако планирует провести модернизацию производства и на имеющихся производственных площадях открыть новое кондитерское производство, поэтому вопросы, связан¬ные c производством и продвижением нового продукта на рынке для компании особенно актуальны.
Автор является совладельцем компании и занимает должность генерального ди¬ректора.
Цель аттестационной работы: ХХХХ. Задачи, решаемые в работе, касаются проведения исследова-ния рынка, анализа компании, её деятельности, анализа продукта, маркетингового и бизнес планирования.
Для решения поставленных задач, в работе применены следующие инструменты: PEST - анализ, карта стратегических групп, модель «5 сил конкуренции М. Пор¬тера», SWOT -  портфельный анализ продукта, произведенный посредством матрицы БКГ,  Диаграмма Ишикавы, маркетинговое планирование.
В ходе работы цель достигнута и позволит: увеличить  выручку от открытия нового цеха  к январю 2016 года на 5 269 тыс. руб. в год.
Основные показатели проекта на этапе запуска:
-	Срок окупаемости – 9 месяцев
-	Чистый приведенный доход (NPV) – 17 093рублей
-	Индекс прибыльности  - 1,08.
Денежный поток на протяжении всего проекта положителен.
Результатом работы стали выводы и предложения основанные на них, при соблюдении которых предприятие в полной мере реализует свои конкурентные преимущества и добьется успеха в решении стоящих перед ней цели - увеличить долю рынка в Горнозаводском округе Свердловской области кондитерских изделий, которую должно занять предприятие до 15 %, а так же вывести  новый продукт на рынок Свердловской области.
Аттестационная работа включает страниц - 50, рисунков - 10, таблиц 
11
"
2014,Разработка стратегии развития предприятия ООО ХХХХ,"ООО ХХХХ (ООО XXXX) был основан в 2012 году в результате  реорганизации проектно-строительной компании в отдельное предприятие. 
Выпускаемый продукт – проектно-сметная и техническая документация для гражданских и промышленных зданий и сооружений, а также для объектов культурного наследия и памятников архитектуры.
Автор проекта – генеральный директор и соучредитель ООО XXXX. 
Не смотря на то, что предприятие работает достаточно эффективно почти 2 года, оно находится еще на стадии start-up, т.к. до конца не налажены бизнес-процессы и не выработана четкая стратегия развития.
 Основная проблема – это укрепление позиций и рост на рынке в области строительного проектирования в условиях постоянных ежемесячных затрат предприятия – с одной стороны; и финансирования наших работ по  законченным этапам – с другой стороны на период 2014-2017 гг.
Проведя анализ деятельности компании ООО ХХХХ, ей целесообразно применить комбинированную стратегию, включающую в себя стратегию концентрированного роста (на основе развития рынка и продукта); стратегию стабилизации (TQM) и стратегию сокращения (реинжиниринга).
Для осуществления стратегии концентрированного роста выбран новый потенциально выгодный сегмент в строительном проектировании – это многоэтажные жилые кварталы. Внедрение на данный рынок описано в бизнес-плане.
Реализация предложенной стратегии позволит достичь следующих финансовых результатов:
а) Выручка в первый год реализации составит 5 085 тыс. руб., во второй – 21 186 тыс. руб., в третий – 25 424 тыс. руб.;
б) Чистая прибыль ожидается со второго года реализации в размере – 11 045 тыс. руб.;
в) Срок окупаемости составит 2 года. 
"
2014,Разработка и внедрение системы менеджмента качества на предприятии ООО ХХХХ,"Общество с ограниченной ответственностью ХХХХ оказывает услуги в области информационной безопасности и защиты информации, и является лицензиатом ФСБ России и ФСТЭК России. Компания работает на рынке защиты информации уже в течение пяти лет. 
Особенностью сферы защиты информации всегда были высокие требования потребителей к качеству оказываемых услуг, так как все они периодически подвергаются проверкам органов – регуляторов (ФСБ России и ФСТЭК России). Также результаты постоянно проводимого анкетирования клиентов говорят о том, что в течение последних трех лет просматривается тенденция к изменению структуры требований клиентов при выборе исполнителя. Имиджу потенциального исполнителя и качеству оказываемых услуг уделяется все большее и большее внимание. 
Исходя из обозначенных особенностей, в рамках аттестационной работы были решены следующие задачи:
1)	проведен отраслевой анализ, анализ конкурентов и анализ внутренней среды предприятия; 
2)	определены стратегические альтернативы предприятия и выбрана основная стратегия предприятия – стратегия повышения качества;
3)	осуществлен выбор проекта в рамках избранной стратегии – проект по разработке и внедрению системы менеджмента качества на предприятии;
4)	рассчитана экономическая эффективность проекта.
Целью проекта является разработка, внедрение и сертификация системы менеджмента качества на предприятии ООО XXXX в срок до 25 декабря 2014 г.
Ожидаемые результаты проекта:
1)	увеличение клиентской базы на 30% к 31 декабря 2015 г.
2)	увеличение прибыли на 24% к 31 декабря 2015 г.
3)	снижение количества жалоб от клиентов на 85% к 31 декабря 2015 г.
Рисками проекта являются:
1)	нарушение запланированных сроков разработки и внедрения проекта;
2)	снижение мотивации руководства компании к реализации проекта;
3)	нежизнеспособность системы менеджмента качества в связи с ее излишней  формализованностью;
4)	неприятие новых требований персоналом.
Ожидаемым социально – экономическим эффектом является появление новых рабочих мест, увеличение отчисляемых компанией в бюджет налогов, а так же наилучшее выполнение на территории региона федеральных законов (ФЗ от 21 июля 1993 года № 5485-1 ХХХХ, ФЗ от 27 июля 2006 г. № 152-ФЗ О персональных данных, от 29 июля 2004 года № 98-ФЗ ХХХХ, от 27 июля 2006 № 149-ФЗ XXXX).
По результатам расчета экономической эффективности проект признан эффективным и принят к реализации с 01 июня 2014 года.
"
2014,Разработка стратегии развития  консалтинговой службы ООО ХХХХ,"ООО XXXX образовано в 2003 году г.Екатеринбурге. Основным направлением деятельности общества являются операции на рынке коммерческой недвижимости. 
За последний год показатели прибыли компании резко начали снижаться, это обусловлено изменяющейся ситуацией на рынке коммерческой недвижимости. В связи, с ежегодным увеличением объемов сдаваемых площадей объектов от застройщиков, как офисных, так торгово-складских помещений различных категорий, снижается спрос на объекты недвижимости. На часть старых объектов были снижены арендные ставки, несколько объектов были проданы собственником. 
Цель данной работы – разработка стратегии развития консалтинговой службы ООО XXXX Для достижения данной цели необходимо решение следующих задач:
•	провести анализ внешних и внутренних факторов влияния на компанию; 
•	провести анализ рынка услуг  с выявлением его основных тенденций;
•	разработать бизнес-план в рамках реализации выбранной стратегии с эффективным использованием имеющихся ресурсов.
С целью изучения рынка использовались следующие инструменты: PEST– анализ, анализ пяти сил Портера, маркетинг – микс 4р, SWOT – анализ, бизнес-планирование с использованием программы Project Expert.
Детальный анализ внешней и внутренней среды и ближайшего окружения компании показал, что для увеличения прибыли необходимо в течение 2014-2015 гг. выйти на новый рынок с другими услугами. Емким и динамично растущим является рынок юридических услуг, а наиболее привлекательным его сегментом является ХХХХ, юридические услуги которого пользуются повышенным спросом.
Результатом работы над проектом является новый портфель услуг компании, за счет которого возможно диверсифицировать бизнес, увеличить прибыль компании, повысить и ее конкурентоспособность на рынке услуг. 
Расчет предложенного проекта, способствующего увеличению прибыли компании, показал положительную финансовую эффективность данного проекта:
•	Срок окупаемости проекта – 3 месяца;
•	Внутренняя норма рентабельности IRR – 86,25%;
•	Индекс прибыльности IP –1,58%;
•	Чистый приведенный доход NPV – 8 224 825 рублей.
"
2014,Создание ресторана и вывод на рынок в среднем ценовом сегменте ,"Рынок общественного питания в г.Екатеринбурге активно развивается и в среднем показывает рост 15% в год. Этот рынок является достаточно привлекательным для создания собственного бизнеса.
Я, 
являюсь стартапером проекта по выводу ресторана на рынок в среднем ценовом сегменте. У меня есть опыт управления рестораном и опыт управления винотеками, в которых, я занималась развитием предприятия, управлением персонала, анализом продаж, составлением плана продаж и разработкой маркетинговой стратегии предприятия. 
В данный момент я хочу открыть свой бизнес, которым будет ресторан. Этой теме и посвящена моя аттестационная работа.
Связи с тем, что выход и удержание своих позиций на рынке достаточно сложные и рискованные задачи. Данная работа посвящена маркетинговому анализу рынка общественного питания, анализу конкурентов и их концепций.
Для анализа рынка были использованы, такие инструменты как PEST- анализ, анализ, 5 сил Портера, проведено полевое исследование гостей ресторанов в среднем ценовом сегменте, на основании данного исследования была составлена сравнительная таблица ресторанов и разработано УТП для будущего проекта, так же были использованы методы 4P, SWOT-анализ. На основании проведенных исследований был разработан портфель стратегий развития предприятия. 
Просчитан бизнес-план с использованием программы «Альт-Инвест»
Целью аттестационной работы является: разработка стратегии вывода ресторана на рынок общественного питания г. Екатеринбурга
В ходе работы были получены следующие результаты: 
1)	     Разработана концепция ресторана.
2)	Определена стратегия бизнеса.
3)	Просчитаны финансовые показатели.
4)	Определенны наиболее привлекательные районы г.Екатеринбурга для открытия ресторана.
Финансовые показатели проекта:
Чистая приведенная стоимость (NPV) 4 553 705 рублей
Дисконтированный срок окупаемости (PBP) 2.52 года
Внутренняя норма рентабельности (IRR) 36,7%
Норма доходности дисконтированных затрат (PI) 120 %
Проведенные расчеты показали положительную финансовую эффективность данного проекта.
Ожидаемый запуск проекта 1 декабря 2014 года. 
Ожидаемый эффект от запуска проекта 1 декабря 2017 года.
"
2014,Стратегия развития предприятия ОАО ХХХХ,"На сегодняшний день в России в машиностроительной отрасли наблюдается стагнация промышленных предприятий, основанных в советское время. Это связано с отсутствием финансовой поддержки со стороны государства и административными барьерами, морально и физически устаревшим оборудованием и методами управления, слабым внедрением инновационных технологий в производстве, появлением на рынке иностранных производителей (в т.ч. китайских) с продукцией более высокого качества и по более низким ценам,  низкой диверсификацией производства и прибавочной стоимостью. Предприятие ОАО XXXX (Уральский компрессорный завод),  просуществовав с основания до конца 90-х годов на монопольном рынке компрессоров для энергетики, конкурировать не научился и не выработал новой ключевой компетенции, пользуется старыми наработками и своим имиджем, заработанным еще в советское время, что сейчас ярко проявляется через падение объемов продаж и товарного выпуска. Таким образом, в ближайшие годы ОАО XXXX необходима серьезная работа по повышению собственной конкурентоспособности.
В аттестационной работе предстоит сделать оценку стратегического развития компании, путем исследования внутренней и внешней среды бизнеса, определить дальнейшие направления для развития, разработать мероприятия по достижению стратегических целей предприятия и способы их реализации.
Аттестационная работа выполнена на 56 с. Содержит 17 таблиц, 10 рисунков, 2 графика и 1 схему. 
"
2014,Разработка новых направлений развития ООО ХХХХ на рынке алкогольной продукции,"ООО XXXX  - оптовая компания-дистрибутор алкогольной продукции на рынке Екатеринбурга и Свердловской обл. Имеет филиал в г. Нижний Тагил. Штат сотрудников 130 человек. 
Автор проекта 
директор по продажам. Зона ответственности – обеспечение сбыта продукции, привлечение новых контрагентов B2B. Полномочия включают разработку, внедрение новых направлений развития по увеличению объемов сбыта и расширению активной клиентской базы (АКБ).
В работе рассматриваются проблемы: падение товарооборота в 2012-2014 гг.  на 47% по отношению к аналогичным периодам 2010-2012 гг.; сокращение доли рынка АКБ на 28% за анализируемый период; усиление преимущества конкурентов через открытие сетей собственных розничных магазинов в регионе.
Рассмотрены три  способа  решения проблем: выход на новые рынки сбыта (открытие филиала в УРФО);  выход с товаром напрямую к розничному покупателю для формирования потребительского спроса и влияния на АКБ (создание сети собственных розничных магазинов или аренда алкогольных отделов в действующих магазинах города и области). 
Цель проекта: реализация стратегии и бизнес-плана развития ООО XXXX на рынке алкогольной продукции, разработанных в рамках дипломной работы. А именно: запуск проекта в октябре 2014 года;  к 31 декабря 2016 г. увеличение товарооборота на 60%, увеличение доли рынка по покрытию АКБ на 30%.
Ожидаемый положительный эффект от запуска проекта октябрь 2016 года. 
"
2014,Повышение эффективности деятельности компании ЛесСтройМонтаж за счет внедрения кадровой политики,"Основной деятельностью Группы Компаний XXXX является деревопереработка, а именно, производство и продажа деревянных элитных  евроокнон. В конце 2013  году было запущено в работу сушильное производство.
Я, 
занимаю позицию начальника отдела управления персоналом.
Общая численность сотрудников предприятия составляет 98 человек, из них 75 рабочие и ИТР.
На сегодняшний день на рынке деревянных СПК ГК XXXX занимает лидирующую позицию, а именно, 37% доли рынка.
Компания испытывает ряд проблем, в первую очередь связанных с одним видом деятельности. Процесс производства продукции направлен на изготовление однотипной продукции, в связи с наличием одного крупного заказчика, который потребляет около 80% всей продукции. Наличие одного ключевого клиента не может гарантировать устойчивость бизнесу. Для минимизации рисков необходимо провести диверсификацию бизнеса. 
По результатам анализа существующих фпкторов внешней и внуиреннней среды, проведенного с помощью таких бизнес-инструментов, как:
«PEST-анализ», ХХХХ, ХХХХ, ХХХХ, «SWOT анализ», «SWOT – 8», ХХХХ, «Анализ проблемного поля методом рыбы Исикавы, определилась портфельная стратегия:  
1) Стратегия концентрированного роста, реализуемая через проекты: Проект по оптимизации  деревообрабатывающего производства; Проект по увеличению объема существующего производства.
 2) Стратегия Диверсификации с новыми направлениями: XXXX и  ХХХХ.
3) Стратегия Вертикальной интеграции. В кооперации с Уральским строительным кластером, формируется Проект по запуску производства ХХХХ.
Данная портфельная стратегия достаточно амбициозна, и существует риск ее не реализации.
В результате анализа проблемного поля инициирован инфраструктурный проект по разработке и внедрении кадровой политики ГК XXXX, призванный обеспечить персоналом, способным  реализовать стратегию. 
Целью проекта является: К 11.01.2015 разработать и внедрить систему управления персоналом, основанную на регулярном менеджменте и автоматизированной системе управления с исполнением KPI- Drive.  
"
2014,Разработка стратегии повышения конкурентоспособности издания ХХХХ,"Рекламно-информационный еженедельник  ХХХХ - один из 10 проектов Медиахолдинга «Абак-Пресс», крупнейшего издательского дома в России.
Отрасль – средства массовой информации, реклама.
Основная деятельность: предоставление рекламных услуг путем размещения рекламных макетов клиента на полосах городского еженедельника ХХХХ (98% общего объема выручки). 
Рекламодатели – рынок B2B - мелкий и средний бизнес г. Екатеринбурга.
Организационная структура линейного типа, количество сотрудников – 30 человек.
Автор проекта - финансовый управляющий издания ХХХХ.
Полномочия и ответственность: анализ деятельности предприятия, контроль финансовых потоков компании, поиск, анализ и внедрение проектов по повышению рентабельности издания.
За период 2012-прогноз 2014 гг. валовый доход издания снизился на 12%, а прибыль более чем в 2 раза.
Причины снижения доходности  - общая стагнация рынка рекламы печатных СМИ и государственное регулирование рынка рекламы.
В результате стратегического анализа деятельности издания, была выбрана стратегия диверсификации и интеграции.
В рамках стратегии предложены проекты:
1.	создание сети изданий в городах Свердловской области
2.	создание сайта как поддержка печатному изданию
3.	создание новой газеты посредством распределения по районам и привлечения мелкого бизнеса
Проект ХХХХ был выбран как наиболее эффективный по KPI. 
Создание новой газеты подразумевает:
1.	деление тиража на 3 района, привязка контента к району, с целью привлечения мелкого бизнеса
2.	объединение рекламы и тематических проектов. 
Например, реклама новостроек, салонов, торговых центров  и пр. в районах Елизавет, Чермет, Уктус, Химмаш будет стоять рядом с информационными материалами об этих районах, и такую газету будут получать жители данных районов. В таком случае реклама будет попадать непосредственно целевой аудитории, что повышает вероятность отклика на рекламу. Кроме того, стоимостная планка XXXX на рекламный рынок для мелкого бизнеса будет низкой.
Цели проекта:
Годовая прибыль 2015 г. – 8 000 000 руб.
Доля рынка к 31.12.15 г. – 45%
Ожидаемый эффект:
Привлечение районных рекламодателей, увеличение продаж
Риски:
Основной риск – отсутствие запланированного объема продаж.
Необходимые ресурсы:
Инвестиции в оборотный капитал в размере 1,2 миллиона рублей для покрытия дефицита денежных средств.
Критерии эффективности:
Выход на полную проектную мощность к марту 2015 г.
Период возврата инвестиций: 1 квартал 2015 г. - 2 квартал 2016 г.
Достижение точки безубыточности в 1 квартале 2015 г.
"
2014,Стратегия развития ДОУ,"Муниципальное бюджетное дошкольное образовательное учреждение – детский сад компенсирующего вида № 346 предоставляет жителям города Екатеринбурга  услугу ХХХХ.
Местонахождение: г. Екатеринбург, ул. Кировградская, д. 47.
Количество сотрудников: 25 человек. Из них 1 заведующий, 1 заместитель заведующего по воспитательно-методической работе, 16 педагогов (4 учителя-дефектолога, 1 учитель-логопед, 1 музыкальный руководитель, 10 воспитателей), 7 сотрудников обслуживающего персонала. 
В ДОУ получают дошкольное образование воспитанники с задержкой психического развития и нарушением интеллекта лёгкой степени.
В настоящее время ДОУ входит в состав сети инновационно-активных образовательных учреждений УрО РАО и является городской сетевой инновационной площадкой по теме ""Вариативные формы образования для детей с ОВЗ в условиях обеспечения доступности качественного образования в соответствии с требованиями ФГОС (ФГТ)"".
На сегодняшний день актуальной проблемой ДОУ является отсутствие дополнительных образовательных услуг, отвечающих запросам родителей (законных представителей) и недостаточное бюджетное финансирование. В связи с этим, целью проекта является выработка стратегии развития Муниципального бюджетного дошкольного образовательного учреждения – детского сада компенсирующего вида № 346. 
Ожидаемый результат реализации проекта: внедрение дополнительных образовательных услуг к 01.09.2015г., обеспечение дополнительного внебюджетного финансирования.
В работе представлены возможные риски проекта, бизнес-план и финансовые обоснования его эффективности. 
"
2014,Стратегическое развитие направления по изготовлению оборудования для атомной индустрии компании ООО XXXX,"OOO XXXX с момента своего основания (2004 год), производит: промышленное оборудование, занимается комплексным инжинирингом.
Производимое борудование используется предприятиями России и стран СНГ, постоянно совершенствующими свои производственные мощности. Это предприятия горно-обогатительной, металлургической, химической, угольной, атомной и строительной индустрии. Специализацией компании  являются - отраслевые и технологические направления:
- фильтрация жидких сред, фильтрация газовых сред и пылеулавливание;
- физико-термическая обработка сыпучих материалов, 
- транспортировка химических, тяжелых и абразивных смесей;
- пневмотранспорт сыпучих смесей.
ООО  XXXX - компания, которая:
- практикует индивидуальный подход к каждому клиенту
- разрабатывает, проектирует и изготавливает оборудование;
- экономит время клиента, производя качественный монтаж и запуск оборудования в кратчайшие сроки; 
- предлагает клиентам доступные ценовые решения достижения их целей.
ООО XXXX находится на завершающем этапе XXXX, именно поэтому наступает момент,  когда необходимо более точно разработать стратегию развития компании, провести анализ деятельности, оптимизировать процессы, повысить управляемость компанией, сформировать новые цели и задачи. 
Основные цели компании – выход на новые рынки, расширение линейки производимых продуктов, реализация новых бизнес проектов, современное технологическое оснащение,  увеличение прибыли в 3 раза за предстоящие 3 года.
"
2014,Эффективное управление МПЗ на ОАО ХХХХ,"ОАО ХХХХ – одно из крупнейших специализированных предприятий России по производству стальных и нержавеющих труб. ОАО XXXX  выпускает широкий спектр труб нефтяного сортамента - бурильные, обсадные, насосно-компрессорные, нефтегазопроводные, а также коррозионно-стойкие, бесшовные горячекатаные и холоднодеформированные трубы. Годовой выпуск – более 530 тысяч тонн труб. На предприятии работает свыше 7 тыс. чел. Автор проекта занимает должность заместителя начальника отдела снабжения материалами и оборудованием. Автор организует материально-техническое снабжение предприятия. Руководит проектами тактического и участвует в проектах стратегического назначения.
Последние годы были непростыми для ОАО ХХХХ - финансовое положение заметно ухудшилось, заметно замедление темпов роста и развития предприятия. Одной из жизненно необходимых задач на сегодня стала задача глубокого анализа в структуре и качестве управления предприятия. 
Для реализации поставленных задач необходима современная и многофункциональная система управления, обеспечивающая современные требования предприятия, которое ориентирована на интенсивное развитие бизнеса, оптимизацию затрат, автоматизацию бизнес-процессов, современные методы управления и обеспечение информационной безопасности. 
На данный момент, система управления материалами не позволяет эффективно использовать разработки в области логистики, тем самым сдерживает их внедрение и реализацию.
 В своей работе, автор предложил направление развития системы управления и методы реализации проекта.
"
2014,Разработка организационного механизма по оптимизации процесса работы с должниками-банкротами в ОАО ХХХХ,"ОАО XXXX является крупнейшей энергоснабжающей организацией и имеет статус гарантирующего поставщика на территории Свердловской области. Гарантирующий поставщик в силу закона обязан заключить договор купли-продажи электрической энергии с любым обратившимся к ней потребителем электрической энергии. Компания начала свою деятельность как самостоятельное юридическое лицо 1 апреля 2005 года после выделения из состава ОАО XXXX. ОАО XXXX входит в состав КЭС-Холдинга (ЗАО ХХХХ) – крупнейшей российской частной компании, работающей в сфере электроэнергетики и теплоснабжения. 
 	В настоящее время в компании работает более 1200 человек. В структуре ОАО XXXX – 6 филиалов, включающих в себя более 60 офисов продаж по всей территории Свердловской области. Компания обслуживает 32 тысячи потребителей – юридических лиц, а также 966 тысяч бытовых абонентов. 
 	Автор работы является заместителем руководителя Управления судебного и исполнительного производства ОАО XXXX.
 	В связи с ростом задолженности несостоятельных должников перед компанией, а также ввиду увеличения количества дел о банкротстве, рассматриваемых в арбитражном суде с участием ОАО XXXX, компания столкнулась с необходимостью повышения качества управления работой с должниками-банкротами. В настоящей аттестационной работе посредством использования теоретических методов анализа (PEST-анализ, SWOT-анализ, карта проблемного поля, диаграмма Ганта) сформулированы стоящие перед ОАО XXXX проблемы, а также определены наиболее приемлемые способы совершенствования управления работой с несостоятельными должниками. 
 	В качестве основного решения предложен проект разработки организационного механизма по оптимизации процесса работы с должниками-банкротами. Цель проекта – к 01.12.2014 г. выделить в Управлении судебного и исполнительного производства ОАО XXXX процесс по работе с должниками-банкротами в отдельное направление. В рамках проекта предполагается централизация указанного процесса, прием дополнительного персонала, четкое распределение функциональных обязанностей персонала в проблемной области, внедрение в компании внутренней информационной базы данных со сведениями о должниках-банкротах.
 
"
