Название,Описание проекта,Результат/Цель 
"Мультиформатная конвертация данных компьютерной
 томографии (КТ) костей лицевого скелета в виртуальную STL-модель,
 математическое моделирование конструкции титанового имплантата для
 замещения дефекта нижней стенки орбиты, на основе Big-data КТ
 лицевого скелета, создание нейронной сети с применением компьютерных
 технологий и искусственного интеллекта","В настоящее время существующие на рынке решения для создания и обработки виртуальных 3D-моделей представлены относительно небольшим количеством программных продуктов, большинство из которых либо имеют довольно ограниченный набор инструментов по проектированию 3D-моделей без возможности их конвертации из данных компьютерных томограмм пациентов либо являются весьма дорогостоящими и требуют прохождения дополнительного обучения по работе в данных программах. Более того, на данный момент отсутствует приложение, которое позволило бы производить конвертацию данных компьютерной томографии (КТ) пациентов в виртуальную STL-модель не только из стандартного для большинства КТ-аппаратов «.DICOM» формата, но и из массива срезов, получаемых при проведении конусно-лучевой компьютерной томографии (КЛКТ) в формате «.GWG», получившей широкое распространение в стоматологической практике.
 Описанные выше недостатки существующих приложений легли в основу Нашей идеи по созданию собственного программного пакета, обладающего оптимальным функционалом для проектированию и редактированию виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG.
 Особый интерес в области проектирования индивидуализированных протезов костных дефектов средней зоны лица представляют технологии Big-data с применением нейронных сетей и искусственного интеллекта. При включении указанных технологий в функционал разрабатываемого программного пакета появляется уникальная возможность создания виртуального банка данных срезов компьютерных томограмм костей лицевого скелета, основываясь на которых мы можем частично автоматизировать процесс проектировки замещающего дефект имплантата, а также многократно повысить точность исполнения конечного продукта (индивидуализированного имплантата).","Создание программного пакета, обладающего оптимальным функционалом для проектирования и редактирования виртуальных STL-моделей, а также возможностью мультиформатной конвертации данных КТ не только из .DICOM формата, но и из .GWG. Программный пакет для мультиформатной конвертации данных компьютерной томографии (КТ) костей лицевого скелета в виртуальную STL-модель с возможностью математического моделирования конструкции титанового имплантата для замещения дефекта нижней стенки орбиты с применением технологий Big-data, нейронных сетей и искусственного интеллекта."
Динамическая модель когнитивного старения,"Создание математической динамической онтогенетически ориентированной (с учетом жизненного периода, возраста испытуемых) модели когнитивного старения, с возможностью управления неблагоприятным сценарием старения. Создание динамической модели когнитивного старения предоставит возможность прогнозировать индивидуальные траектории старения и менять их вектор в случае патологического сценария. Создание модели с помощью нейросетей","Исследовать биологические и психосоциальные компенсаторные механизмы старения головного мозга, разработать комплексные медико-психосоциальные программы, учитывающие нейрохимические, нейропсихологические, психосоциальные сценарии старения на основе динамической модели когнитивного старения Создание модели с возможностью добавления вновь поступающих данных"
"Виртуальная (компьютерная) лабораторная работа по физике ""Измерение вязкости жидкости""","Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
 1. Моделировать движение по капилляру жидкости с известным коэффициентом вязкости (согласно уравнению Пуазейля).
 2. Содержать анимированную графику, максимально (насколько возможно) отражающую вид и работу реальных капиллярных вискозиметров (прежде всего, вискозиметра Гесса).
 3. Иметь простой пользовательский интерфейс, удобное управление виртуальной установкой измерения вязкости, должна быть предусмотрена возможность выбора из нескольких вариантов жидкости, у которой надо измерить коэффициент вязкости.
 4. Необходимо предусмотреть возможность многократного (от 5 и более раз) повторения виртуального измерения коэффициента вязкости с сохранением результатов в табличной форме и расчетом погрешности измерений.","Создание компьютерной программы, моделирующей работу капиллярного вискозиметра, применяемого в медико-биологических исследованиях, связанных с измерением вязкости различных жидкостей. Должно быть разработано ПО, имитирующее работу капиллярного вискозиметра, работающее под управлением ОС Windows 7 и выше."
"Виртуальная (компьютерная) лабораторная работа по физике ""Определение электрической оси сердца"".","Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
 1. По заданным примерам электрокардиограмм (ЭКГ) в нескольких стандартных отведениях обеспечить возможность измерения амплитуд зубцов Q, R, S в каждом отведении.
 2. По результатам измерений определяется среднее положение электрического вектора сердца (электрическая ось сердца).
 3. Производится графическая визуализация найденной электрической оси сердца.","Создание компьютерной программы Должно быть разработано ПО определения положения электрической оси сердца по записям ЭКГ в нескольких стандартных отведениях, работающее под управлением ОС Windows 7 и выше. 
 Соответствие полученного результата истинным значениям определяемого параметра проверяется на тестовых примерах."
"ПО для оценки значимости стеноза коронарных артерий (КА) по изображениям, сделанным в ходе коронарографического обследования","Создаваемое в рамках данного проекта программное обеспечение должно решать следующие задачи:
 1. Использовать в качестве исходных данных файлы видео либо файлы формата DICOM, содержащие видеозаписи коронарограмм.
 2. Производить предварительную обработку изображений – фильтрация помех, контрастирование и т.п.
 3. В автоматическом режиме (с минимумом вмешательства пользователя) определять границы исследуемого участка КА и строить распределение диаметра артерии на участке со стенозом.
 4. По скорости продвижения контрастного вещества оценивать объемную скорость кровотока.
 5. Моделировать насколько может увеличиться скорость кровотока через данную КА после процедуры восстановления ее просвета в стенозированном месте.","Создание компьютерной программы, позволяющей по видеозаписи, сделанной при выполнении рентгеноконтрастной ангиографии коронарных артерий (КА) со стенозом (суженным участком), определить параметры кровотока через артерию, оценить степень стеноза и спрогнозировать результат процедуры восстановления просвета артерии в месте стеноза. Должно быть разработано ПО для оценки как параметров, так и значимости стеноза коронарных артерий (КА) по изображениям, сделанным в ходе коронарографического обследования, работающее под управлением ОС Windows 7 и выше. 
 Эффективность разработанного ПО тестируется на клинических видеозаписях, выполненных в ходе коронарографических исследований. Полученные результаты (распределение диаметра КА по длине, объемный кровоток в стенозированном месте и его спрогнозированное значение после процедуры восстановления просвета КА) сравниваются с данными, полученными другими стандартными клиническими методами (например, методом FFR - Fractional flow reserve)."
ПО для обмена данными с портативным устройством мониторинга уровня и накопленной дозы ультрафиолетового излучения (УФИ),"Имеется устройство, измеряющее уровень УФИ, и записывающее (в среднем 1 раз в минуту) его значения на встроенную память. Требуется ПО (как для мобильных устройств под управлением Android и iOS, так и стационарных компьютеров/ноутбуков, оснащенных адаптером Bluetooth), позволяющее связываться с устройством мониторинга УФИ по стандарту Bluetooth, считывать данные его внутренней памяти, рассчитывать накопленную дозу УФИ, определять риски поражения кожи, давать рекомендации по защите от УФИ.","Создание ПО для мобильного устройства и стационарных компьютеров, осуществляющего обмен данными с портативным устройством оценки уровня УФИ Должно быть разработано ПО как для мобильных устройств под управлением ОС Android и iOS, так и для стационарных компьютеров (имеющих адаптер Bluetooth) под управлением ОС Windows 7 и выше."
Распознавание действий людей на видео,В данном проекте предлагается ознакомление с задачей классификации действий на видео. В ходе работы будет проведен анализ существующих подходов для решения данной задачи. Проект должен быть реализован с применением технологии нейронных сетей и библиотек машинного зрения.,"Изучение и сравнение текущих решений для задачи классификации действий на видео. Выработка оптимального по скорости, точности и потребляемым ресурсам алгоритма классификации действий на видео."
Разработка алгоритма выделения признаков объекта на фотографии,"В данном проекте предлагается ознакомление с задачей выделения признаков объектов на фотографии. В ходе работы требуется провести анализ существующих подходов выделения признаков объектов. По выделенным признакам можно произвести поиск объекта при его перемещении. В процессе перемещения у объекта могут меняться его характеристик: освещенность, геометрические размеры, угол поворота относительно камеры. Для стабильного отслеживания перемещения объекта по выделенным признакам необходимо определять, что данные признаки принадлежат именно отслеживаемому объекту. Проект должен быть реализован с применением технологии нейронных сетей и библиотек машинного зрения.","Изучение и сравнение существующих решений для выделения признаков объектов на фотографии. Выработка оптимального по скорости, точности и потребляемым ресурсам алгоритма."
Разработка алгоритма оценки характеристик движущегося автомобиля.,"В данном проекте предлагается разработка алгоритма анализа характеристик движущегося автомобиля. К таким характеристикам относятся: скорость, направление, габариты, цвет, марка, модель. В ходе работы вы научитесь: использовать нейронные сети для классификации и детектирования объектов, математические алгоритмы для обработки изображения. Проект должен быть реализован с применением технологии нейронных сетей и библиотек машинного зрения.","Разработка ПО, выполняющего оценку характеристик движущегося автомобиля. Программное обеспечение с описанием функционала."
Формирование искусственной БД на движке Unity для обучения нейронной сети,"В данном проекте предлагается разработка базы данных с помощью игрового движка Unity. В качестве опорной БД будет использоваться БД UCSD Anomaly Detection Dataset. После формирования БД, требуется протестировать качество обучения нейронной сети на классической БД и на искусственной. В проекте проверяется гипотеза о возможности искусственной генерации данных для обучения нейронных сетей детектировать девиантное поведение. В ходе работы вы научитесь работать с игровым движком Unity.",Формирование искусственной БД для обучения нейронной сети с использованием игрового движка Unity. Искусственно сгенерированная база данных.
Алгоритм определения качества изображения,"В современных системах видеонаблюдения зачастую используются камеры с разными характеристиками и, соответственно, разным качеством картинки. Камеры могут быть цифровыми или аналоговыми, с разным разрешением, настройками яркости и контрастности. Для применения алгоритмов машинного зрения требуется понимание с изображением какого качества мы имеем дело. В данном проекте предлагается разработать критерий оценки качества изображения.","Разработка алгоритма способного производить оценку качества изображений взятых из разных источников. Алгоритм, рассчитывающий критерий качества изображения."
Разработка модуля понимания естественного языка в чат-боте,"Большинство крупных компаний внедряют в свои сервисы обслуживания клиентов умных голосовых помощников. Чаще всего это чат-боты, способные в автоматическом режиме отвечать на наиболее распространенные вопросы клиентов, а так же выполнять некоторые команды, не привлекая при этом сотрудников клиентской поддержки. Такие чат-боты способны понимать запросы в виде текстовых сообщений на естественном языке и давать релевантные ответы или совершать конкретные действия по запросу. В основе этих умных помощников лежит модуль NLU, с помощью которого система извлекает информацию из текстов сообщений, на основании которой и формирует ответ. Модуль NLU в современных решениях основан на технологиях машинного обучения. В данном проекте участники познакомятся с основными подходами к реализации модуля и построят собственный модуль.",Разработка модуля понимания текста (Natural Language Understanding - NLU) в чат-боте. Анализ существующих решений по критериям качества работы и производительности. Модуль NLU для чат-бота.
Next Generation SIEM – система корреляции событий киберфизической безопасности,"ООО «УЦСБ» представит стенд, моделирующий поведение ключевых систем-сенсоров:
 Системы анализа сетевого трафика АСУТП с образцами трафика целевых АСУПТ;
 Системы видеоаналитики с образцами событий (размеченные видеозаписи);
 Системы локального позиционирования с записанными треками и зонированной картой помещения.
 Команда имеет возможность провести исследование и разработать собственную архитектуру NGSIEM, включая выбор хранилищ для различных типов данных, выбор «движка» корреляции событий, выбор специализированных API и моделей хранения метаданных.
 Для хранения и описания словарей и метаинформации дополнительно приветствуется применение стека технологий связанных данных (semantic web / linked data) и, в частности, GeoSPARQL для представления и запроса связанных геопространственных данных."," Прототип системы, выявляющей в реальном времени несколько типов угроз и инцидентов киберфизической безопасности с помощью механизма корреляции событий, представленных в разнородных структурах данных: time-series, syslog и др."
Автоматизированное описание сетевых протоколов на языке NetPDL,"Разработаны и реализованы в виде Python-скриптов алгоритмы разбора пакетов неизвестных (закрытых) протоколов, позволяющее выделять границы полей и определять их характер (адресные, служебные, поля данных). Для дальнейшего использования получаемых результатов (например, в модуле GoDPI ПАК DATAPK) необходимо описать протоколы на языке NetPDL.
 Предпочтительный способ реализации программы – скрипт на Python, но, по согласованию, возможно использование другого языка программирования.","Автоматизация описания сетевых протоколов на языке NetPDL на основе известных данных о длинах полей и их характере Программа, создающая спецификации протоколов на языке NetPDL на основании заданных входных данных: наборов границ и указанных среди них адресных полей, примеров сетевых пакетов"
Предиктивная аналитика состояния инженерных систем ЦОД,"Для анализа предоставляются массивы данных, собранных с оборудования инженерной инфраструктуры Центров обработки данных, в том числе архив аварийных событий.
 
 Система должна обучиться на предоставленных данных и при загрузке тестовой выборки решить произвольное количество перечисленных задач: определить аномальное поведение системы, дать оценку вероятности причинам такого поведения, спрогнозировать выход оборудования из строя.
 
 Выбрать наиболее подходящий методы предиктивной аналитики или их комбинацию: 
 техника оценки многомерных состояний (MSET),
 регрессия и авторегрессия,
 рекуррентные и сверточные нейронные сети, 
 деревья решений, 
 методы нечетких логик,
 метод главных компонент, 
 метод моделирования на основе подобия (Similarity Based Modeling - SBM),
 выбранный исполнителем метод(ы).
 
 В качестве дополнительной информации рекомендуется изучить патенты RU2626780C1, RU2686257C1, RU2703874C1","Разработка прототипа системы предиктивной аналитики возможных отказов инженерных систем ЦОД на основании анализа статистики работы оборудования Прототип системы предиктивной диагностики инженерного оборудования ЦОД, обрабатывающей исходные данные и получающей на выходе оценку вероятности выхода оборудования из строя либо фиксирующей аномальное поведение системы"
Лава,"Язык разработки основной C++. Некоторые компоненты могут быть реализованны на Pyton. 
 Дополнительным плюсом будет разработка собственного GUI, но это необязельно. Большим плюсом будет понимание методов мат. физики, вычислительной математики. 
 
 Этот проект рассматривается как высоконаучный и долгосрочный проект с финансированием.","Цель проекта – разработка симуляции вязкой жидкости методом SPH с температурно-зависимой вязкостью Библиотека или расчетное ядро для расчета симуляции течения вязкой жидкостьи с помощью SPH.
 Доработка по примеру библиотеки SplisHSPlasH для программной реализации температурной зависимости вязкости по мат. моделе."
GameDev. Разработка контаента для курса по разработке игр.,"Проект посвящен сразу нескольким аспектам разработки игр. Поэтому общих жестких требований к стеку технологий нет. 
 Технологии и способ реализации будет обговорен на собеседовании.","Цель проекта – разработка курса по GameDev. Для него понадобятся различные аспекты контента, charapter design, level design, etc. Интерактивное приложение демо или интерактивный шоурум/ландинг, демонстрирующий выбранный аспект разработки."
Виртуальный пожар/инфекция,"Перед началом работы пользователь вводит свои данные. Система заводит его профиль, в котором фиксирует все его данные и результаты. При выходе из системы и повторном входе под тем же именем данные заносятся в тот же профиль.
 Виртуальная среда, наполненная разноцветными точками (трёхмерная сетка), в которой появляются точки розового цвета. Каждая розовая точка постепенно темнеет, становясь сначала красной, а затем тёмно-красной, бордовой и, наконец, чёрной. Когда точка доходит до красного цвета, все соприкасающиеся с ней точки также становятся розовыми и постепенно краснеют. Их соседи также становятся розовыми и краснеют, когда соприкасаются с красной точкой. И т. п.
 
 У пользователя должна быть возможность прикосновением контроллера остановить изменение цвета точки и распространение от неё «заразы». После «нажатия» точка перестаёт менять цвет и «заражать» соседей.
 
 Система должна подсчитывать
 - проведённое в виртуальной среде время
 - количество удачных попаданий (отдельно считаются попадания в «ещё безобидные» розовые» - отдельной строкой – попадания в уже красные, «заражающие» соседей),
 - количество ошибочных попаданий в точки другого цвета и
 - повторных попаданий в уже отмеченные точки.
 Также система должна фиксировать ФИО-возраст-пол-спецальность пользователя, сохранять его данные и результаты, допускать повторное участие, выводить результаты в виде таблицы Exel","Цель проекта – создание виртуальной среды, пригодной для проведения психологического эксперимента на взаимодействие с виртуальной реальностью. Эксперимент исследует решение динамической задачи визуального поиска Интерактивное приложение для VR или десктопа по симуляции распространения пространственной информации по объемной сети."
Приложение для VR. Виртуальный стул,"Для выполнения этой задачи необходимо освоить проектирование виртуальных сред, также технологии, позволяющие снимать движение с реального объекта и переводить их в движения виртуального.
 Предполагается проектирование виртуальной сцены, представляющую собой помещение со столом и стулом. Стол своим размером и местоположением должен совпадать с реальным столом, стул – с реальным крутящимся стулом. Задача команды поставить движения виртуального стула в зависимость от движений (поворотов) реального стула. Также на столе должны быть виртуальные предметы. Могут быть добавлены дополнительные возможности, см. приложение.","Цель проекта – создание виртуальной среды, пригодной для проведения психологического эксперимента на взаимодействие с виртуальной реальностью. Эксперимент исследует влияние тактильных впечатлений на эффект присутствие в виртуальной среде. Виртуальную сцену со столом и стулом, позволяющую перемещаться внутри среды и взаимодействовать с некоторыми объектами."
EkatEco,"Основная фишка данного приложения - доступность в социальной сети ""ВКонтакте"". Стек технологий: JavaScript, React, HTML 5, VK UI.","Помочь Екатеринбургу улучшить экологическое положение. Приложение поможет любому пользователю поддерживать экологичный образ жизни. Мобильное приложение с такими функциями как: карта, где будут указаны базы пунктов приема сырья с фильтром по типу отходов, советы для жителей города, дневник со своими достижениями."
Генератор чек-листов,"Веб-сайт. 
 Python, Flask, Базы данных, html CSS, JS.
 Pycharm, bitbucket, MS word.","Разработка веб-сайта для генерации чек-листов Должен быть разработан веб-сайт (достаточно без публикации в интернете, достаточно локальный запуск проекта). 
 На сайте должны быть реализованы страницы: 
 1. Выбор тематики генерации чек-листа.
 2. Генератор (процесс создания) чек-листа.
 3. Страница с инструкцией и контактной информацией. 
 Пользователь отвечает или выбирает критерии формирования чек-листа (п1 и п2) и получает html или pdf версию(и) чек-листа. Скачивает их к себе на компьютер.
 Веб-сайт работает под любые платформы (ПК, планшеты или телефоны)."
Разработать аналог библиотек affy и oligo на Python (БИОИНФОРМАТИКА),"На данный момент область биоинформатики состоит из 5-6 крупных направлений, в каждом из которых есть 7-8 постановок задач. К сожалению, существуют типы данных для которых чтение и нормализация реализована только на языке R.
 В нашем проекте мы предлагаем переписать на Python библиотеки affy и oligo, изначально реализующие чтение различных форматов данных экспрессии генов и их предпроцессинг.
 Проект будет интересен тем, кто хочет сделать Open Source библиотеку и научиться лучше программировать на языке Python, а также познакомиться с R. Существенные знания биоинформатики не требуются.
 Участникам проекта будут читаться лекции по биоинформатике. Команда проекта будет дополнена студентами других факультетов и сотрудниками академии наук.",Переписать open source библиотеку с R на Python Библиотека с открытым исходным кодом в открытом доступе
Определение профиля экспрессии генов при HOIL1-дефиците (БИОИНФОРМАТИКА),"В рамках проекта необходимо обработать данные открытого набора данных GEO (GSE40561), посвященного врожденному нарушению иммунитета человека. Для этого набора данных известны некоторые правильные заключения, но их можно расширить проведя более подробное исследования и описав регуляторные пути развития заболевания.
 Проект будет интересен тем, кто занимается биоинформатикой и клинической генетикой.
 Участникам проекта будут читаться лекции по биоинформатике. Старшие коллеги помогут с основными рабочими инструментами. Команда проекта будет дополнена студентами других факультетов и сотрудниками академии наук.
 Описание задачи от заказчика: Аутовоспалительные болезни (не путать с аутоиммунными) - болезни человека, причиной которых является нарушение механизмов воспаления на молекулярном уровне. При таких болезнях без видимой причины может появиться лихорадка, поражение суставов, слизистых, радужки глаз. В зависимости от задействованных механизмов, аутовоспалительные болезни бывают разной степени тяжести.
 Болезнь с дефицитом HOIL1 - это недавно обнаруженное аутосомно-рецессивное заболевание человека с ранним началом и летальным исходом, характеризующееся хроническим аутовоспалением, рецидивирующими инвазивными бактериальными инфекциями и прогрессирующим мышечным амилопектинозом. В датасете (GSE40561) представлена транскрипция цельной крови от одного пациента с заболеванием HOIL и пациентов других аутовоспалительных болезней, включая CINCA, синдром Макл-Уэллса и дефицит мевалонат-киназы.
 Определение профиля экспрессии генов при HOIL1-дефиците позволит приблизить понимание патогенеза болезни и продвинуться в терапии аутовоспалительных болезней.",Определение профиля экспрессии генов при HOIL1-дефиците Получить новые научные знания
Анализа видеопотока с помощью библиотеки detectron2,"В библиотеке detectron2 уже существует возможность анализировать видеопоток с целью выделения из него людей и анализа их поз. На основе этой библиотеки необходимо разработать законченный программный продукт, который считает количество людей прошедших перед одной камерой в каждом направлении в течении дня.
 Проект дает возможность научиться доводить прототип технологии до минимального жизнеспособного продукта.
 Для участников проекта будет проводиться мастер классы по основам работы с данными и основам нейронных сетей. В течении всего проекта участникам будут помогать старшие коллеги с опытом создания прототипов технологий и минимальных жизнеспособных продуктов.","Используя библиотеку detectron2 разработать систему подсчета количества людей, проходящих перед видеокамерой. Программное обеспечение, которое может анализировать видеопоток с любой камеры с использованием одного ускорителя вычислений на NVIDEA CUDA или AMD ROCm."
Детектирование COVID19 по рентгенограммам и компьютерной томографии,"Диагностика COVID19 является важной задачей, так как компьютерная томография (КТ) и рентгенограммы зачастую более доступны для пациентов чем ПЦР-тесты. Также рентгенограммы и КТ грудной клетки проводятся по многим другим показаниям, не связанным с подозрениями на вирусную пневмонию и автоматическая сопутствующая диагностика может существенно облегчить детектирование больных в популяции.
 На данный момент разработано много открытых решений по COVID19: https://github.com/ieee8023/covid-chestxray-dataset, https://github.com/HzFu/COVID19_imaging_AI_paper_list, https://github.com/UCSD-AI4H/COVID-CT.
 В Европе и Северной Америке созданы некоммерческие объединения занимающиеся разработкой таких технологий. В России задача по детектированию COVID 19 была предложена на World Cup AI&Data Challenge 2020. 
 Мы предлагаем студентам РТФ разработать собственное техническое решение для задачи детектирования COVID19. Проект дает возможность развить навыки работы с данными и навыки обучения глубоких нейронных сетей, решая социально значимую задачу.
 Для участников проекта будет проводиться мастер классы по основам работы с данными и основам нейронных сетей. В течении всего проекта участникам будут помогать старшие коллеги с опытом создания прототипов технологий и минимальных жизнеспособных продуктов.","Создать технический прототип, детектирующий COVID19 по рентгенограммам и компьютерной томографии Детектирование COVID19 по рентгенограммам и компьютерной томографии"
Научные коммуникации,"Наша миссия - создать в Уральском федеральном округе единое сообщество абитуриентов, студентов, научных сотрудников и представителей коммерческих компаний, объединенных общими интересами в сфере глубокого обучения нейронных сетей и биоинформатики. 
 Мы хотим чтобы абитуриенты видели реальную ценность научных исследований в вузах, выпускники вузов легче находили работу в области анализа данных, а компании искали новые бизнес-возможности в опыте академической среды. 
 Каждый семестр мы пробуем новые формы создания учебно-научного контента и организации сообществ вокруг этого контента. Мы проводили семинары, записывали видеолекции и мастер-классы, организовали летнюю школу. В этом семестре мы хотим выйти на новый уровень по качеству визуального оформления и контента. Привлечь в сообщество профессиональных сотрудников из академии наук и УрФУ.
 В проекте нужны научные журналисты, SMM-специалисты, видеомонтажеры и дизайнеры. Мы также ожидаем одного или двух специалистов в анализе открытых данных, которые могли бы провести исследование лучших мировых и российских практик научных коммуникаций.
 Проект подразумевает большую самостоятельность в построении системы контроля качества и внутреннего взаимодействия внутри команды.
 Наши социальные медиа:
 https://vk.com/computational_science
 https://www.youtube.com/channel/UCIvll4lo4hGPh4CVHLHQJVw
 Наши интервью:
 https://vk.com/@computational_science-intervu-s-aleksandrom-kursanovym
 https://vk.com/@computational_science-intervu-s-mariei-tkachuk
 https://vk.com/@computational_science-intervu-s-nikitoi-markovym
 https://vk.com/@computational_science-intervu-s-vladislavom-zaripovym
 https://vk.com/@computational_science-intervu-s-romanom-rokeah
 https://vk.com/@computational_science-markaverchenko","Поддерживать постоянные семинары по глубокому обучению нейронных сетей и биоинформатике для студентов, аспирантов и научных сотрудников Екатеринбурга;
 Генерировать уникальный научно-образовательный контент; Онлайн-семинары по темам глубокого обучения нейронных сетей и биоинформатике. Постоянное сообщество студентов и научных сотрудников вокруг этих семинаров."
Онлайн – платформа (веб-система) LigroGame,"Назначение системы - система предназначена для работы в однопользовательском режиме для создания моделей объектов разного типа с помощью геометрических трехмерных форм – примитивов в приложении Unity (3 D LigroGame), встроены команды изменения размера/объема объекта, наложения/изменения значений признака материал, цвет, сохранения объекта для конвертирования в файл для 3 D печати.
 В статусе «учитель» и «ученик» реализованы формы группового режима деятельности.
 Для статуса «учитель» система реализует следующие функции: 
 Демонстрация материала – синхронизация с детской группой; 
 Мониторинг и контроль активности учащихся;
 Организация обмена данными между компьютерами учеников и учителя; 
 Организация групповой работы;
 "," Веб-система с формой регистрации и функционалом для 3 статусов пользователей ( учитель, ученик и родитель) для взаимодействия с контентом в приложении Unity (3 D LigroGame)."
Виртуальная 3d онлайн-лаборатория по физике,В рамках каждого проекта Unity 3d необходимо выполнить программирование анимации виртуальных приборов с помощью кода на языке C# согласно физической модели (предоставляется заказчиком) и разработать трехмерные (3d) модели физических приборов по образцу реальных лабораторных установок (информация предоставляется заказчиком).,"Создание комплекса из пяти виртуальных лабораторных работ по физике, каждая из которых позволяет проводить симуляцию измерений на лабораторной установке. Комплект из 5 проектов Unity 3d, оптимизированных для запуска в браузере (сборки WebGL). Каждый проект включает в себя сцену с 3d-моделями физических приборов и устройств, анимация которых осуществляется с помощью программного кода, написанного на языке C#. Все 5 проектов должны быть выполнены в едином стиле и с примерно одинаковым уровнем детализации 3d-графики."
JIQ(коэффициент цифрового интеллекта)-тест,"На основе аналитического анализа литературных источников разработать структурную модель измерения уровня цифрового мышления, составить тест и провести тестирование 100-150 респондентов для валидизации данной методики методом структурного моделирования (SEM). Предполагается тестирование проводить с помощью Google-форм, статистическую обработку данных выполнять с помощью пакета SPSS и модуля AMOS, работающего на базе SPSS. Максимальный уровень оценки проект получает, если результат представлен в виде доклада на студенческой научной конференции и описан в научной публикации.",Создание методики измерения уровня цифрового интеллекта Валидизированная методика измерения уровня цифрового интеллекта
Чат-бот для обучения школьников дисциплине «Индивидуальный проект» ( созданию простого VR-приложения для Android-устройста на Vuforia и Unity 3D),создание и апробация чат-бота для обучения школьников и оценки его результатов по дисциплине «Индивидуальный проект» в виде простого VR-приложения для Android-устройства с помощью Vuforia и Unity 3D,"создание инструмента обучения школьников и оценки его результатов по дисциплине «Индивидуальный проект» в виде простого VR-приложения для Android-устройства с помощью Vuforia и Unity 3D чат-бот, выполняющий функции:
 обучения: отправляет теоретический материал на e-mail, дает ссылку на Google – диск для скачивания
 проверки знаний: задает тестовые вопросы по теории проектной деятельности и организует он-лайн защиту проекта"
Цифровой тьютор,"На основе аналитического анализа литературных источников разработать способ решения задачи оптимизации образовательной траектории методом структурного моделирования (SEM). Предполагается статистическую обработку данных выполнять с помощью пакета SPSS и модуля AMOS, работающего на базе SPSS. Максимальный уровень оценки проект получает, если результат представлен в виде доклада на студенческой научной конференции и описан в научной публикации.",Создание методики оптимизации индивидуальной образовательной траектории на основе анализа цифрового следа Способ решения задачи оптимизации образовательной траектории (программный код)
ПДД GO,"Веб-приложение будет реализовано с помощью HTML, CSS, JS, Node.js, Python
 Особенности проекта:
 Наличие полной теории, тестов по каждой главе и полных экзаменационных билетов.
 Адаптивность под большой круг устройств.
 Наличие особенного функционала (мы правда еще думаем над тем, что будем добавлять сюда, конечно у нас уже есть идеи по типу нейросети для определения дорожных знаков, карты города и так далее)","Анализ рынка на пример приложений обучающих пользователя пдд, выявление функционала, необходимого пользователю, создание максимально эффективного и, интересного для пользователя, приложения, обучающего его правилам дорожного движения. Результат – обучающее веб-приложение."
Модернизация сайта ИнФО,"Проект планируется на 2 семестра. Первый семестр займет аналитика и поиск источников информации, формирование структуры сайта, создание макетов, а также формирование технического задания для второго семестра.
 2 семестр займет работа по модернизации сайта.","Усовершенствовать сайт ИнФО: путем проведения аналитики конкурентов и предпочтений целевой аудитории сформировать информативный контент; добавить новые функции; модернизовать дизайн. Анализ по выявлению уникальных источников полезного контента.
 Макеты представления информации на сайте. 
 Структура сайта.
 Техническое задание на доработку."
Динамическая модель компетенции,Предпочтительно реализовать сервис в формате веб.,"Создание сервиса по выявлению компетенций по профессиям специалистов на основании анализа заявок вакансий Сервис позволяющий собирать, обрабатывать вакансии с порталов вакансий и выявлять набор компетенций для выбранной профессии"
Модернизация сайта ИРИТ-РТФ,"Проект планируется на 2 семестра. Первый семестр займет аналитика и поиск источников информации, формирование структуры сайта, создание макетов, а также формирование технического задания для второго семестра.
 2 семестр займет работа по модернизации сайта.","Усовершенствовать сайт ИРИТ-РТФ: путем проведения аналитики конкурентов и предпочтений целевой аудитории сформировать информативный контент; добавить новые функции; модернизовать дизайн. Анализ по выявлению уникальных источников полезного контента.
 Макеты представления информации на сайте. 
 Структура сайта.
 Техническое задание на доработку."
Coding Learn,Игроку необходимо проходить игровые уровни с написанием кода для управления персонажем и взаимодействием с окружающим игровым миром.,"Создание MVP-версии приложения, обучающего основным командам языка программирования во время игрового процесса, прохождения уровней. Образовательная игра, которое обучает игроков программированию во время игрового процесса."
Мобильная игра для обучения устному счету детей младшего школьного возраста «Pirates Counts»,"Приложение написано на с# , Unity.","Создать приложение для тренировки устного счета у детей младшего школьного возраста (1-4 класс). Приложения с готовой 1 картой, уровень сложности на картах различается, тестовая система для определения уровня пользователя."
Тренажер-симулятор компьютерных сетей,Приложение под средой .NET.,Создание веб-сервиса моделирования и тестирования работы компьютерных сетей. Веб-сервис позволяющий моделировать работу компьютерных сетей. Сервис должен обладать возможностью создавать тестовые задания по проверке знаний работоспособности сетей. Сервис создается для сопровождения курса по компьютерным сетям в качестве платформы для выполнения и проверки практических задач студентов.
Цифровой тьютор,Предпочтительно реализовать сервис в формате веб.,Сервис по формированию набора рекомендаций по выбору курсов для обучения Сервис позволяющий анализировать информацию по прохождению обучения по курсам и их оценки и в зависимости от результатов анализа формировать набор рекомендаций по выбору дальнейших курсов по обучению
