Название,Описание проекта,Результат/Цель 
Проверка наличия подписи на документе,"Нужно научиться определять, подписан документ на картинке или нет. Можно решить эту проблему при помощи opencv, можно нейросетками, но тогда придется найти датасет для этого.",
Прогноз оттока клиентов юр. лиц,Спрогнозировать отток клиентов юридических лиц из банка,
Поиск самозанятых,Анализ профилей соц. сетей для поиска самозанятых,
Анализ CRM,Анализ комментариев сотрудников в CRM для выявления мошенничества,
Интеллектуальное материаловедение,Используя компьютерную симуляцию процесса найти оптимальное значение параметров при некоторых условиях,
Прогнозирование энергопотребления цеха,Построить модель прогнозирования энергопотребления цеха,
Прогнозирование стоимости металлического лома,Построить модель прогнозирования стоимости металлического лома,
Прогнозирование окисления в ДСП,Построить модель прогнозирвоания окисления в ДСП,
Оптимальное управлениеДСП,Построить модель оптимального управления ДСП,
Приемник в цифровом формате DRM (Digital Radio Mondiale),"Проектирование DRM приемника с АМ в диапазоне 3,96…26,1 МГц. В состав приемника войдет микроконтроллер созданный компанией STMicroelectronics.","Прием сигналов DRM  для радиостанций означает переход на цифровое вещание в диапазонах коротких, средних и длинных волн в диапазоне 3,96…26,1 МГц означает существенное (примерно на три четверти) сокращение расходов на трансляцию при сохранении неизменным радиуса охвата. При этом передающие станции могут продолжать использовать имеющуюся инфраструктуру. "
Математическое моделирование нормативного состояния элементов и параметров воздушных линий электропередач,"Что доступно сегодня:
Нормативы, предъявляемые к воздушным линиям электропередач
Алгоритмы расчета нормативных показателей
Планы проекта:
Разработать комплексную модель, включающую в себя все нормативные состояния элементов и параметров воздушных линий электропередач
Протестировать модель на различных реальных ситуациях
Выявить подгоночные параметры модели ","Моделирование аварийных ситуаций на воздушных линиях электропередач на основе анализа нормативов, предъявляемых к элементам воздушных линий электропередач"
Разработка облачного сервера для хранения данных диагностики воздушных линий электропередач,"Что доступно сегодня:
сервер
Задачи проекта:
разработать архитектуру облачного сервера 
разработать архитектуру базы данных
реализовать базу данных
запустить облачный сервер для обмена данными между сотрудниками   ","Обеспечить:
Оптимальный набор хранимых данных
Взаимодействие команды разработчиков экспертной системы диагностики дефектов элементов воздушных линий электропередач"
Разработка программного обеспечения для повышения качества распознавания дефектов элементов воздушных линий электропередач,"Что доступно сегодня:
Данные магнитного сканирования
Данные лазерного сканирования
Данные ультрафиолетового сканирования
Разработать:
Математическую модель фильтрации шумов спектров данных диагностики
Модель анализа спектра для выявления наличия дефектов
Программное обеспечение, реализующее модель фильтрации шумов и анализа спектра",Предсказание аварийных ситуаций на воздушных линиях электропередач на основе анализа спектров сканирования элементов линий электропередач
Видеоаналитика городских перекрестков,"На основе видеоданных с камер, установленных на светофорах, обеспечить распознавание автомобилей, их количества, скорости, возможных аварий и блокировки перекркестков. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей.","Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на перекрестках г. Екатеринбурга. В результате проекта — появление технического решения позволяющего оптимизировать трафик на перекрестках, обеспечить своевременное информирование о дорожных происшествиях. "
Видеоаналитика электрических подстанций,"На основе видеоданных с камер, установленных как снаружи так и внутри помещений, обеспечить распознавание присутствия людей, их количества, вида деятельности, возможных неисправностей оборудования. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей.","Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на электрических подстанциях. В результате проекта — появление технического решения позволяющего анализировать работу персонала, обеспечить своевременное информирование о возможных происшествиях. "
Видеоаналитика железнодорожного движения,"На основе видеоданных с камер, установленных на железнодорожных переездах, в кабине машиниста и по периметру поезда,  обеспечить распознавание помех на путях, поездов встречного направления, состояния машиниста, задымлений снаружи поезда. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей.","Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на железнодорожных путях, в кабине машиниста и снаружи поезда. В результате проекта — появление технического решения позволяющего предотвратить аварии, обеспечить своевременное информирование о состоянии железнодорожного сообщения. "
