Название,Описание проекта,Результат/Цель 
Telegram-бот для формирования электронной очереди в прачечную,"Во всех общежитиях на 200 и более чел. предусматриваются прачечные самообслуживания, которые работают по принципу - заплатил, постирал и забрал белье. Но в большинстве случаев запись к паре работающих машинок выстраивается на недели вперед. Всю запись осуществляют доверенные лица, которые строят таблицу и каждый раз вручную вносят данные и принимают платежи.Этот процесс требует оптимизации, так как занимает очень много времени как у студента, так и у человека, который этим занимается (тоже такой же студент).","Целью проекта является создание telegram-бота, при помощи которого можно быстро занять очередь в прачечную, посмотреть наличие свободных машинок и узнать об акциях. Универсальный Telegram-бот с механизмом взаимодействия со стороны пользователя (автоматическое получение времени для записи или отмены) и администратора (регистрация объекта, к которому возможна запись)."
Создание 3D-модели рельефа и городского пейзажа, Ручное создание 3D модели городского пейзажа занимает значительные временные и материальные ресурсы. Поэтому в ряде случаев псевдо-3D модель является оптимальным решением.,"Генерация и отображение псевдо-3D модели на основании векторных входных данных. Web Приложение основанное на WebGL, отображающее 3D-модель городского пейзажа, сгенерированную на основании векторных данных: рельеф, контуры зданий и их высотность. Приложение должно иметь возможность отображения города по частям в зависимости от текущего масштаба и положения камеры."
HR Helper,"Задача:

Автоматизировать и улучшить систему учета специалистов-претендентов с балльной системой оценки заинтересованными сотрудниками компании.

Сейчас существует печатная анкета оценки кандидата, на основании которой вычисляется общий балл ценности кандидата для компании. Оценка производится на основании резюме кандидата с сайтов zarplata.ru и hh.ru

Общий балл считается вручную, также вручную составляется рейтинг кандидатов, ведутся разрозненные заметки о кандидатах и их контактах. Взаимодействие всех заинтересованных специалистов тоже чаще всего происходит офлайн и онлайн в разных мессенджерах.","Упорядочивание процесса рекрутинга в организации Веб-сервис с разграничением прав для разных сотрудников организации, автоматизированный ввод данных резюме кандидата через парсинг pdf резюме по двум видам шаблонов, автоматизированный расчет рейтинга кандидата, хранение информации для последующего использования HR-специалистом.

 

Поэтапная реализация:

Техническое задание
Проектирование
Дизайн (силами специалистов заказчика)
Верстка
Фронтенд
Бэкэнд
Тестирование
Внедрение
В рамках одного семестра реализовать максимум пунктов."
"	
Лектест (LECTEST)","Задача:

Оптимизация учета посещаемости
Краткосрочный срез знаний по предмету лекции

 

Упростить получение информации о посещаемости, ведение статистики посещений.

Улучшить восприятие информации студентами за счет проведения кратких тестов (3-5 вопросов) во время лекции на тему лекции.","Организация учебного процесса Простое взаимодействие и выход на конкретный тест через QR-код, тест проводится на мобильном устройстве студента.

Веб-интерфейс для преподавателя с данными группы, конкретного студента, возможностью заводить тесты, формировать статистику.

 

Поэтапная реализация:

Техническое задание
Первая итерация – разработка веб-приложения преподавателя
Вторая итерация – разработка мобильных приложений (кросс-платформенного мобильного приложения для студентов)
Третья итерация – написание документации и инструкции пользователей
Тестирование
Внедрение
В рамках одного семестра реализовать максимум до 6 пункта."
Телеграмм-бот «Первая доврачебная помощь»,"ИнФО запускает серию открытых курсов на платформе https://openedu.ru/
Требуется сопровождать разработку курса созданием уникального мультимедийного контента, в том числе придумывать, как геймифицировать учебные задания, придумывать свои задания на основе тематического плана курса.
","Интегрировать телеграмм-бот, помогающий выучить алгоритмы оказания неотложной помощи на платформу https://openedu.ru/ и провести тестирование нескольких сценариев использования бота в курсе «Безопасность жизнедеятельности» Готовое приложение и интеграция продукта в курс БЖД"
Разработка игры для мобильных устройств на движке Unity,"Игра представляет собой космическое пространство, в котором игрок может вращать по осям вращения и перемещать вдоль вертикальной плоскости трёхмерную фигуру тетриса. Задача игрока — переместить и повернуть фигуру таким образом, чтобы попасть в случайное отверстие в приближающейся стене из блоков. С каждой пройденной стеной скорость игры и размер стены увеличивается. Также может присутствовать дополнительный функционал: ускорение игры по воле игрока(чтобы не дожидаться прохождения стены), замедление времени, использование щита и т.д.","Разработать игру, поддерживающуюся на различных мобильных устройствах, используя среду разработки компьютерных игр — Unity. Разработанное ПО, игра должна корректно функционировать на различных мобильных устройствах"
Использование AR/VR технологий для повышения безопасности производств и наработки навыков по принятию решений в кризисных ситуациях,"На сегодняшний день аварии на производствах достаточно часто приводят к трагичным последствиям - травмам или же летальному исходу. Причина - человеческий фактор. Во время аварийных ситуаций на производстве даже при отличном знании инструктажа человек теряется и начинает паниковать, так как никогда не оказывался в подобной ситуации до этого и его представления об аварийной ситуации отличались от реальности. Данный проект направлен на более эффективную подготовку персонала к черезвычайным ситуациям для того, чтобы сократить количество жертв.","Разработать продукт, направленный на повышение безопасности производств, работающий более эффективно существующих на данный момент способов. Готовое приложение"
WEB приложение – карта офиса,"Когда новый сотрудник приходит на работу и появляется ситуация, когда нужно обратиться к человеку, с которым он только переписывался в рабочей почте, возникает проблема и дискомфорт в блуждании по этажу в поисках нужного человека. 
В рамках проекта предлагается реализовать веб-приложение, в котором будут отражены места сотрудников (столы), при нажатии на стол будет открываться информация о сотруднике (ФИО, фото, должность).
","Целью проекта является реализовать интерактивную карту офиса, для быстрого поиска сотрудников в крупной компании Веб-приложение отрисовывает карту офиса, расставляет рабочие места, при наведении на стол открывается карта сотрудника (рабочего места)"
Мобильное приложение для учета финансов,"В рамках проекта предлагается творческое задание: реализовать мобильное приложение по учету расходов (возможно доходов) пользователя с функцией сканирования чеков и/или голосового управление через ассистентов siri/алиса и/или планирования финансов, учитывающая заработную плату, учета налогов по заполненному имуществу.","Целью проекта является реализация приложение, куда пользователь заносит доходы и расходы, сканирует чеки, и может отслеживать изменение трат в разрезе дни/недели/месяца/года. Мобильное приложение (или адаптивное приложение), в которое можно добавлять доходы и расходы "
Проект 360. ,"Когда сотрудники профессионально развиваются, очень важно осознавать насколько правильно они работают со своими коллегами: для этого существует метод 360, описанный в приложении к проекту. 
В рамках проекта предлагается реализовать анонимный сборщик мнений о коллективе, на примере проекта 360, где люди смогут оценивать друг-друга, конструктивно критиковать и взаимодействовать для общего развития.
","Целью проекта является реализация приложения, где пользователи (сотрудники/одногруппники) одного социального пространства, смогут оставить анонимный отзыв о коллеге/одногруппнике. В приложении реализован запрос опроса о себе, отправка уведомлений кругу связанных с пользователем лиц, сохранение и отображение, запрашиваемому результатов опроса."
Slack-бот (адаптация нового сотрудника),"В компаниях по окончанию испытательного срока принято собирать обратную связь, например, “Нравится ли кандидату рабочее место?” или “С какими трудностями вы встречались во время испытательного срока?” В рамках проекта предлагается автоматизировать данный процесс 
Необходимо реализовать slack-бота с механизмом: при появлении нового сотрудника в рабочем пространстве – бот регламентно опрашивает сотрудника через заданное количество времени.
","Целью проекта является реализация slack-бота, при помощи которого будет проводится постепенное анкетирование нового сотрудника (через заданные промежутки времени).  Slack-бот с механизмом взаимодействия со стороны пользователя (автоматическое получение вопросов) и администратора (просмотр ответов, добавление собственных вопросов, установка времени рассылки вопросов)."
Dungeon Crawler наоборот,"Игрок управляет Темным Лордом, тирании которого приходит конец:
Главная цитадель/башня/оплот тьмы находится под осадой местных «героев», когда Темному Лорду сообщают об этом, он принимает единственно верное в данной ситуации решение – бежать в свое тайное убежище и копить силы для восстановления власти над миром. В этот момент в тронный зал врываются «герои» и хватают Темного Лорда, после чего садят его в клетку и переносят на самый верх темной башни для того, чтобы телепортировать его в Коллегию магов, где Темный Лорд будет предан «справедливому» суду.
В тот момент, когда должна была начаться телепортация на площадку врывается несколько прислужников Темного Лорда и оттеснив от клетки «героев» освобождают игрока.
Задачей игрока становится спуск по башне, и побег через тайный лаз, пробиваясь через армии «добрячков» и расправляясь с «героями». В случае проигрыша игрока снова садят в клетку, и игра начинается заново с момента освобождения Темного Лорда его прислужниками из клетки.
Графика:
2D/3D
Крупные не анимированные объекты 3D, анимированные объекты детали окружения в 2D.
Геймплей:
Игра разделена на несколько чередующихся частей
1. Раннер
Горизонтальное перемещение, периодически появляются враги, со спины приближается огромная толпа бесконечно респаунящихся врагов
2. Арена
Бесконечный респаун мелких мобов, необходимо убить несколько мини-боссов, либо босса, либо выполнить иную задачу
","Разработать игру и подготовить ее к релизу на ПК Игра, готовая к релизу"
PICO-8 GAMES,Разработка игры на платформе pico-8 в содружестве с компанией Targem Games,Научитсья разрабатывать игровой дизайн документа Готовое приложение
Телеграмм-бот «Поведение в чрезвычайных ситуациях»,"ИнФО запускает серию открытых курсов на платформе https://openedu.ru/
Требуется сопровождать разработку курса созданием уникального мультимедийного контента, в том числе придумывать, как геймифицировать учебные задания, придумывать свои задания на основе тематического плана курса.
","Разработать и интегрировать телеграмм-бот, помогающий выучить алгоритмы поведения в чрезвычайных ситуациях на платформу https://openedu.ru/ и провести тестирование нескольких сценариев использования бота в курсе «Безопасность жизнедеятельности» Готовое приложение и интеграция продукта в курс БЖД"
ИГРОВОЕ МОБИЛЬНЕЕ ПРИЛОЖЕНИЕ ДЛЯ ВЫПОЛНЕНИЯ УЧЕБНОГО ЗАДАНИЯ ОНЛАЙН КУРСА «ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ И СЕРВИСЫ» «СОБЕРИ КОМПЬЮТЕР»,"ИнФО запускает серию открытых курсов на платформе https://openedu.ru/

Требуется сопровождать разработку курса созданием уникального мультимедийного контента, в том числе придумывать, как геймифицировать учебные задания, придумывать свои задания на основе тематического плана курса.

Список курсов:

Безопасность жизнедеятельности
Информационные технологии и сервисы
Основы проектного управления","Разработать концепт и представить MVP мобильного приложения/сайта, в котором участники решают задачу из курса ИТиС. Учебная задача состоит в том, чтобы собрать компьютер из комплектующих и установить ОС, уложившись в определенную сумму. Игровое мобильное приложение/сайт, интегрированные с онлайн курсом на платформе Открытое образование"
Исследование звукосимволизма,"Гипотеза звукосимволизма подразумевает, что связь звуков со смыслом слов не случайна. При этом, до текущего момента, последние достижения в NLP обходили стороной эту область лингвистики. В опубликованой нами статье (смотрите Приложение) мы показали, что с помощью современных методов Word Embedding можно выделить закономерности о звукосимволизме, которые согласуются с опубликованными ранее наработками лингвистов. При этом, в рамках проектного практикума, в предыдущем семестре студентами было продемонстрировано, что подобные закономерности в английском языке имеют устойчивый характер, то есть сохраняются вне зависимости от выбора метода Word Embedding-а. Данный этап работы будет направлен на исследование возможности использования подобного метода для других языков.","Исследовать возможность применения описанного в статье метода (смотрите приложение) для различных естественных языков В результате проекта планируется подтвердить или опровергнуть гипотезу, о том, что предложенный метод исследования звукосимволизма работает не только для английского языка, но и для языков из различных языковых групп."
PrintStudy,"Сейчас для печати в институте нужна флешка, мелочь или получай горсть сдачи. Забыл флешку – прогорел. Необходимо сделать онлайн принтер. Файл загружается на сайт в личный кабинет, расчет стоимости учитывает заполнение страницы, индивидуальные скидки. Далее оплата через сторонний сервис, и выдача 6 значного кода. Когда клиент приходит к любому принтеру с вводит свой код – файл подгружается на Orange PI и подаётся на печать. Существующий аналог – PrintBox.io","Создание сайта и принтера, печатающего через Web интерфейс. Сайт и работающая связка сайт - Orange PI – модем – принтер."
STEAM GUARDIAN,"Проект представляет 2d игру в жанре платформер, где задача главного героя выбраться из леса. Чтобы выполнить эту, на первый взгляд, простую задачу, ему предсоит столкнуться с агрессивными жителями леса, используя свои навыки и силу ""паровой"" науки, столкнутся с труднастями решения головоломок. Уровни строятся линейно, что позволяет игроку изучить их и найти скрытые помещения.",Создание платформера умеренной сложности для любителей инди игр. Игра для мобильных устройств.
MeducateVR: образовательная система для медиков,"Существующая система обучения медицинских работников на данный момент субъективна и ненаглядна*.
* по версии УГМУ

Цель проекта – создать VR-систему для отработки ситуаций оказания медицинской помощи с учётом составленных заранее метрик для каждой конкретной ситуации.  

Система может использоваться как в учебном процессе будущих медиков, так и при переподготовке действующих медработников.
","Доработка прототипа, тестирование в УГМУ и первый запуск  MeducateVR - это образовательная VR-система для медицинских учебных учреждений. MeducateVR автоматизирует учебный процесс с помощью интуитивно понятных интерфейсов, а также улучшит результаты будущих медиков с помощью VR-кейсов."
Анализ текстов вакансий,"В современном мире совершенно очевидным становится факт, что выпускники вузов не обладают тем набором навыков, которые требует работодатель. Следствием этого является потребность выпускников в повышении квалификации и переобучении. Данный проект направлен на разработку системы, которая позволит сотрудникам университета практически в реальном времени следить за потребностями работодателей и изменять наполнение образовательных курсов. Для этого предлагается во-первых, научиться выделять компетенции в текстах вакансий, а во-вторых, научится определять к какой вакансии относится та или иная вакансия.","С помощью современных методов машинного обучения разработать модели автоматического анализа текстов вакансий, в том числе выделение компетенций и классификация текстов вакансий по профессиям В результате будет разработана модель, на вход которой подается текст вакансий, а на выходе - список выделенных компетенций и профессия, к которой относится данная вакансия. Точность выделения вакансий - более 90%, точность определения профессии - более 95%."
Автоматизация процесса оптимизации 3D моделей для компьютерных игр на движке Unity,"Есть детализированные модели, созданные по инженерной документации. Их оптимизация для использования в Unity занимает много времени.","Разработка ПО для оптимизация 3D-моделей  Разработанное ПО, должно автоматически уменьшать количество полигонов 3D модели. Число полигонов (треугольников) для примитивной версии модели не должно превышать 100,000. При этом внешний вид моделей должен сохраняться."
Автоматизированное извлечение полезной информаций из текста,"Необходимо разработать систему для автоматического извлечения фактов о персонах и организациях из новостных статей.
Предлагается извлекать следующие факты:
1. Сопоставление персоны (ФИО) и должности;
2. Сопоставление организации и ее отрасли;
3. Сопоставление организации и персон, которые относятся к этой организации;
4. Сопоставление организации и ее географического расположения;
5. Сопоставление персоны и ее географического расположения.
","Разработка системы, способной извлекать полезные факты из потока новостей 1. Демо-стенд (веб-сервис), который обладает следующими возможностями:
  a. Через веб-форму вводится текст, в ответ система визуализирует найденную информацию;
  б. Визуализация работы системы на выборке из 1000 предварительно загруженных статей из новостного источника.
2. Техническое описание продукта: принципиальная схема продукта, оценка производительности, оценка качества, оценка перспективы использования.
"
Система управления тестовой документацией,"Для тестирования продуктов (web и мобильных приложений) специалистами по тестированию используются тест-кейсы. Это вид тестовой документации, содержащий: 
1. Название теста (Например “Загрузка изображения для создания новости на сайте”) 
2. Предусловия для теста (Например “Для создания/редактирования новости необходима роль пользователя “Редактор”) 
3. Шаги для воспроизведения теста (Последовательность действий, для успешного выполнения тестовой ситуации)
4. Ожидаемый результат (Новость корректно создаётся с прикрепленным изображением).
Необходимо разработать web-приложение, где специалисты по тестированию будут создавать, хранить и редактировать тест-кейсы.
","Разработка web-приложения, позволяющего управлять документацией для специалистов по тестированию. Web-приложение, имеющее следующий функционал: 
1. Создание пространства (разделов) для тестируемых проектов. Должна быть возможность наполнять данные пространства тест-кейсами для последующего формирования тест-наборов (набор тест-кейсов, необходимых для тестирования конкретной ситуации). 
2. Создание тест-наборов с последующим сохранением, для повторного использования. 
3. Запуск тест-наборов (таймер, который считает время затраченное на прохождение всех тестов), маркировка пройденных/не пройденных тестов, возможность выгрузить отчёт, содержащий суммарное время прохождения тест-набора, количество пройденных/не пройденных тестов.
"
Компьютерная игра аркада на стоматологическую тематику для школьников среднего звена,"В Российской Федерации активно формируется система общественного здоровья, включающая создание ""мотивирующей среды"" здоровьесбережения. С 2018 года в Российской Федерации объявлено «Десятилетие детства», провозглашен приоритет превентивных технологий, позволяющих внедрить новые методы профилактики стоматологических заболеваний у детей. Современным источником информации для детей и их родителей часто служит интернет, соцсети и приложения для смартфонов. Игра предполагает сбор и анализ данных о исходных знаниях детей о стоматологической профилактике, построение игрового процесса с эффективным обучением основам профилактики стоматологических заболеваний, и тестирования степени освоения материала.
Планируется внедрение проекта в программу профилактики региона как части платформы стоматологического здоровья LiveDental, Возможна монетизация рекламным контентом и сотрудничество со спонсорами (производителями средств гигиены).
",Формирование мотивации по уходу за полостью рта на основе интеллектуальной системы Приложение Обучающая игра для мобильных устройств с возможностью  интеграции в конструктор сайтов Тильда.
Формирование искусственной БД для обучения нейронной сети,"В данном проекте предлагается разработка базы данных с помощью игрового движка Unity. В качестве опорной БД будет использоваться БД UCSD Anomaly Detection Dataset. После формирования БД, требуется протестировать качество обучения нейронной сети на классической БД и на искусственной. В проекте проверяется гипотеза о возможности искусственной генерации данных для обучения нейронных сетей детектировать девиантное поведение. В ходе работы вы научитесь работать с игровым движком Unity.",Формирование искусственной БД для обучения нейронной сети с использованием игрового движка Unity.  Искусственно сгенерированная база данных
Оплата товаров/услуг ФЛ в адрес ЮЛ с использование технологии NFC,"Необходимо реализовать мобильное приложение, используя которое можно без налично рассчитываться с ЮЛ, у которого нет специального терминала. Чек об оплате должен формироваться автоматически и приходить на эл почту, как плательщику, так и получателю, с соблюдением всех норм формирования расчетных документов. ","Минимизация расходов на обслуживание терминалов Реализован функционал, который полноценно может заменить платежный терминал. Работающее приложение и сайт с возможной нагрузкой  10000 человек, время отклика системы 1-2 сек."
Управление устройством с использованием когнитивных технологий,"Необходимо реализовать возможность запуска определенных функций мобильных телефонов, анализируя мимику владельца смартфона.","Управление смартфоном без рук (лицом, мимикой, движением головы, морганием глаза и т.п.) Запуск определенных функций смартфона на основании мимики его владельца, время отклика системы 1 сек. При изменении мимики владельца смартфон выполняет запуск определенных команд."
Разработка алгоритма межкамерного трекинга людей.,"В данном проекте предлагается разработка алгоритма отслеживания перемещения людей от одной камеры к другой. В ходе работы вы научитесь: использовать нейронные сети для классификации и детектирования, применять математические алгоритмы для кластеризации и классификации. Проект должен быть реализован с применением технологии нейронных сетей и библиотек машинного зрения.","Разработка ПО, выполняющего детектирование перемещения человека по разным камерам. Программное обеспечение с описанием функционала."
Оптимизация алгоритмов работы информационной системы персонифицированного учета оказанной медицинской помощи,"Система имеет ряд контролей, постоянно изменяющихся под требования федеральных и региональных форматов. Требования устанавливают список контролей (входных данных в Систему). Входные данные в геометрической прогрессии пополняют сервер, что приводит к проблемам производительности . Вместе с этим новые требования к контролям часто не проверяются в части пересечения периодов действия, что приводит к ошибкам загрузки данных.
Задачи:
1.	Обработка файла формата реестров версии 3.2.1. Составление списка постановок на дополнительные контроли
2.	Создание функции на БД, в которой будут реализованы доп. Контроли, которые были обработаны в 1 пункте – РАЗРАБОТЧИК БАЗ ДАННЫХ (требования - программирование на любом языке БД). Реализация на PostgreSQL версии 9.6
3.	Создание алгоритма очищения файлов, находящихся в указанных папках на сервере. Файлы должны удалены старше даты, определяемой динамически. Папки и условия определения даты должны содержаться в конфиге. Запуск алгоритма по расписанию на сервере с Linux. – АДМИНИСТРАТОР (требования – знание Linux
4.	Алгоритм проверки пересечения периодов действия строки с одинаковыми кодами в Access-файле.  РАЗРАБОТЧИК JAVA (Требования – знание java, пытливый ум)
","Реализация,  внедрение  и апробация модернизированных алгоритмом работы Системы Задачи поставлены членами команды и проверены аналитиком
Выполнена успешная реализация 4х основных задач (указано выше)
По итогам проверки решений куратором приняты результаты работы
"
