,Название,Описание проекта,Результат/Цель ,full
84,Разработка программного обеспечения для повышения качества распознавания дефектов элементов воздушных линий электропередач,"Что доступно сегодня:
Данные магнитного сканирования
Данные лазерного сканирования
Данные ультрафиолетового сканирования
Разработать:
Математическую модель фильтрации шумов спектров данных диагностики
Модель анализа спектра для выявления наличия дефектов
Программное обеспечение, реализующее модель фильтрации шумов и анализа спектра",Предсказание аварийных ситуаций на воздушных линиях электропередач на основе анализа спектров сканирования элементов линий электропередач,"Разработка программного обеспечения для повышения качества распознавания дефектов элементов воздушных линий электропередач Что доступно сегодня:
Данные магнитного сканирования
Данные лазерного сканирования
Данные ультрафиолетового сканирования
Разработать:
Математическую модель фильтрации шумов спектров данных диагностики
Модель анализа спектра для выявления наличия дефектов
Программное обеспечение, реализующее модель фильтрации шумов и анализа спектра Предсказание аварийных ситуаций на воздушных линиях электропередач на основе анализа спектров сканирования элементов линий электропередач"
85,Видеоаналитика городских перекрестков,"На основе видеоданных с камер, установленных на светофорах, обеспечить распознавание автомобилей, их количества, скорости, возможных аварий и блокировки перекркестков. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей.","Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на перекрестках г. Екатеринбурга. В результате проекта — появление технического решения позволяющего оптимизировать трафик на перекрестках, обеспечить своевременное информирование о дорожных происшествиях. ","Видеоаналитика городских перекрестков На основе видеоданных с камер, установленных на светофорах, обеспечить распознавание автомобилей, их количества, скорости, возможных аварий и блокировки перекркестков. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей. Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на перекрестках г. Екатеринбурга. В результате проекта — появление технического решения позволяющего оптимизировать трафик на перекрестках, обеспечить своевременное информирование о дорожных происшествиях. "
86,Видеоаналитика электрических подстанций,"На основе видеоданных с камер, установленных как снаружи так и внутри помещений, обеспечить распознавание присутствия людей, их количества, вида деятельности, возможных неисправностей оборудования. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей.","Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на электрических подстанциях. В результате проекта — появление технического решения позволяющего анализировать работу персонала, обеспечить своевременное информирование о возможных происшествиях. ","Видеоаналитика электрических подстанций На основе видеоданных с камер, установленных как снаружи так и внутри помещений, обеспечить распознавание присутствия людей, их количества, вида деятельности, возможных неисправностей оборудования. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей. Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на электрических подстанциях. В результате проекта — появление технического решения позволяющего анализировать работу персонала, обеспечить своевременное информирование о возможных происшествиях. "
87,Видеоаналитика железнодорожного движения,"На основе видеоданных с камер, установленных на железнодорожных переездах, в кабине машиниста и по периметру поезда,  обеспечить распознавание помех на путях, поездов встречного направления, состояния машиниста, задымлений снаружи поезда. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей.","Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на железнодорожных путях, в кабине машиниста и снаружи поезда. В результате проекта — появление технического решения позволяющего предотвратить аварии, обеспечить своевременное информирование о состоянии железнодорожного сообщения. ","Видеоаналитика железнодорожного движения На основе видеоданных с камер, установленных на железнодорожных переездах, в кабине машиниста и по периметру поезда,  обеспечить распознавание помех на путях, поездов встречного направления, состояния машиниста, задымлений снаружи поезда. Способы реализации проекта — применение класических алгоритмов обработки изображений и передовых методов анализа с использованием нейронных сетей. Цель проекта: разработка программно-алгоритмического решения для отслеживания ситуации на железнодорожных путях, в кабине машиниста и снаружи поезда. В результате проекта — появление технического решения позволяющего предотвратить аварии, обеспечить своевременное информирование о состоянии железнодорожного сообщения. "
0,"Выстраивание системы управления проектом, переданном из другого структурного подразделения",Проект передан из другого структурного подразделения с большим количеством неизвестных. Есть разработанный программный продукт с разными версиями в регионах. Полностью меняется команда проекта.,"Настроить процессное управление проектом под текущие регламенты департамента Разработана дорожная карта решений проблем проекта и выстраивание процесса управления проекта под текущие реалии и регламенты.
Результат принят куратором
Выполнено не менее 70% мероприятий по дорожной карте
","Выстраивание системы управления проектом, переданном из другого структурного подразделения Проект передан из другого структурного подразделения с большим количеством неизвестных. Есть разработанный программный продукт с разными версиями в регионах. Полностью меняется команда проекта. Настроить процессное управление проектом под текущие регламенты департамента Разработана дорожная карта решений проблем проекта и выстраивание процесса управления проекта под текущие реалии и регламенты.
Результат принят куратором
Выполнено не менее 70% мероприятий по дорожной карте
"
1,Виртуальная 3d онлайн-лаборатория по физике,"Программный комплекс, состоящий из 10 отдельных подпрограмм, каждая из которых реализует отдельную 3d-виртуальную лабораторную работу из практикума по базовому курсу физики. Комплекс должен функционировать на сервере, обеспечивающем постоянный доступ к нему одновременно нескольких клиентов (студентов), каждый из которых авторизуется с помощью своей единой учетной записи УрФУ. Также должен быть реализован веб-интерфейс для администрирования, т.е. управления списком учетных записей студентов, допущенных к выполнению виртуального практикума, а также создания дополнительных (гостевых) учетных записей. Комплекс должен предусматривать недопущение неавторизованного доступа к программному комплексу/его скачивание на жёсткий диск (вероятно, для этого подпрограммы комплекса должны работать в режиме сервер-клиент). Все подпрограммы комплекса должны быть выполнены в едином стиле, т.е. с примерно одинаковой детализацией 3d-моделей, одинаковым меню и т.п.","Создание виртуальной 3d онлайн-лаборатории, позволяющей выполнять лабораторные работы по физике одновременно несколькими студентами через авторизацию на сервере по единой учетной записи УрФУ («личный кабинет»).  1) Функционирующий онлайн программный комплекс, позволяющей выполнять 10 виртуальных лабораторных работ по физике с авторизацией пользователей по единой учетной записи УрФУ и с гостевых учетных записей
2) Исходники программного комплекса (проекты и сцены Unity 3d, скрипты, 3d-модели)
","Виртуальная 3d онлайн-лаборатория по физике Программный комплекс, состоящий из 10 отдельных подпрограмм, каждая из которых реализует отдельную 3d-виртуальную лабораторную работу из практикума по базовому курсу физики. Комплекс должен функционировать на сервере, обеспечивающем постоянный доступ к нему одновременно нескольких клиентов (студентов), каждый из которых авторизуется с помощью своей единой учетной записи УрФУ. Также должен быть реализован веб-интерфейс для администрирования, т.е. управления списком учетных записей студентов, допущенных к выполнению виртуального практикума, а также создания дополнительных (гостевых) учетных записей. Комплекс должен предусматривать недопущение неавторизованного доступа к программному комплексу/его скачивание на жёсткий диск (вероятно, для этого подпрограммы комплекса должны работать в режиме сервер-клиент). Все подпрограммы комплекса должны быть выполнены в едином стиле, т.е. с примерно одинаковой детализацией 3d-моделей, одинаковым меню и т.п. Создание виртуальной 3d онлайн-лаборатории, позволяющей выполнять лабораторные работы по физике одновременно несколькими студентами через авторизацию на сервере по единой учетной записи УрФУ («личный кабинет»).  1) Функционирующий онлайн программный комплекс, позволяющей выполнять 10 виртуальных лабораторных работ по физике с авторизацией пользователей по единой учетной записи УрФУ и с гостевых учетных записей
2) Исходники программного комплекса (проекты и сцены Unity 3d, скрипты, 3d-модели)
"
2,PROJECT MOORLIGHTER,Игра в жанре 2D RPG-Action-Simulator,"Целью является развитие членами команды различных компетенций, получение уникального опыта групповой разработки серьёзного проекта Готовое приложение","PROJECT MOORLIGHTER Игра в жанре 2D RPG-Action-Simulator Целью является развитие членами команды различных компетенций, получение уникального опыта групповой разработки серьёзного проекта Готовое приложение"
3,RETURN THE THRONE!,"Ритм игра. Вы бывший король, чьё королевство захватили. По удачному стечению обстоятельств вам удаётся выбраться из темницы. И теперь вы деревня за деревней возвращаете своё царство!",Разработка игры Готовое приложение,"RETURN THE THRONE! Ритм игра. Вы бывший король, чьё королевство захватили. По удачному стечению обстоятельств вам удаётся выбраться из темницы. И теперь вы деревня за деревней возвращаете своё царство! Разработка игры Готовое приложение"
4,Разработка hypercasual для android с рекламной монетизацией,"Сбор идей, составление документации и прототипирование и полишинг, тестирование, выпуск. 
Unity/Blender
",Показать польностью процессс разработки от идеи до выпуска в сторе.  Готовый игровой проект,"Разработка hypercasual для android с рекламной монетизацией Сбор идей, составление документации и прототипирование и полишинг, тестирование, выпуск. 
Unity/Blender
 Показать польностью процессс разработки от идеи до выпуска в сторе.  Готовый игровой проект"
5,Мониторинг свободных мест на парковки с помощью систем машинного зрения,"Определение числа свободных мест на парковке, построение карты парковки с помощью анализа видеопотока с камер наблюдения с последующей передачей данной информации. 
Проблема: 
Человек не знает о реальном количестве свободных мест на парковке до тех пор, пока на неё не заедет. Человек не знает где расположены эти места и вынужден искать их вслепую.
Решение проблемы: 
Сделать систему мониторинга с применением машинного зрения, с помощью которой можно было бы удалённо узнать о числе свободных мест.
Концепт решения:
На основе библиотек OpenCV и YOLO (?) реализовать систему, которая анализируя картинку с существующих камер видеонаблюдения выполняла бы следующее:
•	определяла бы свободные места,
•	вела их подсчёт, 
•	составляла карту свободных мест, 
•	передавала данную информацию через открытые API.
Опция:
•	мобильное/стационарное приложение, которое бы позволяло при подъезде к парковке выбрать парковочное место и зарезервировать его, например, на 5 минут (дабы исключить ситуацию выехал из дома – забронировал парковку). 
","Определение числа свободных мест на парковке, построение карты парковки с помощью анализа видеопотока с камер наблюдения с последующей передачей данной информации.  Отчуждаемое программное обеспечение, выполняющее описанный функционал.","Мониторинг свободных мест на парковки с помощью систем машинного зрения Определение числа свободных мест на парковке, построение карты парковки с помощью анализа видеопотока с камер наблюдения с последующей передачей данной информации. 
Проблема: 
Человек не знает о реальном количестве свободных мест на парковке до тех пор, пока на неё не заедет. Человек не знает где расположены эти места и вынужден искать их вслепую.
Решение проблемы: 
Сделать систему мониторинга с применением машинного зрения, с помощью которой можно было бы удалённо узнать о числе свободных мест.
Концепт решения:
На основе библиотек OpenCV и YOLO (?) реализовать систему, которая анализируя картинку с существующих камер видеонаблюдения выполняла бы следующее:
•	определяла бы свободные места,
•	вела их подсчёт, 
•	составляла карту свободных мест, 
•	передавала данную информацию через открытые API.
Опция:
•	мобильное/стационарное приложение, которое бы позволяло при подъезде к парковке выбрать парковочное место и зарезервировать его, например, на 5 минут (дабы исключить ситуацию выехал из дома – забронировал парковку). 
 Определение числа свободных мест на парковке, построение карты парковки с помощью анализа видеопотока с камер наблюдения с последующей передачей данной информации.  Отчуждаемое программное обеспечение, выполняющее описанный функционал."
6,Определение интересов абонентов на основании их интернет-активности.,"Телекоммуникационные компании накапливают большие объемы данных об интернет активности пользователей. Используя эти данные, можно сформировать некий портрет клиента, на основании которого делать персонализированные предложения, создавать новые продукты.","Выделить группы интересов абонентов для дальнейшего формирования предложений. Алгоритм, позволяющий на основании истории посещения интернет-ресурсов выделять основные интересы абонентов.","Определение интересов абонентов на основании их интернет-активности. Телекоммуникационные компании накапливают большие объемы данных об интернет активности пользователей. Используя эти данные, можно сформировать некий портрет клиента, на основании которого делать персонализированные предложения, создавать новые продукты. Выделить группы интересов абонентов для дальнейшего формирования предложений. Алгоритм, позволяющий на основании истории посещения интернет-ресурсов выделять основные интересы абонентов."
7,разработка roguelike игры для ПК,"Данный проект нацелен на улучшение командного взаимодействия, получение нужных компетенций участниками команды для дальнейшего развития и создания оригинальных игр. Для данных целей был выбран жанр roguelike, который так удачно сочетает в себе все аспекты игровой разработки практически в равной степени, что позволит всем участникам нашей команды, каждый из которых имеет свою роль и специализацию, одинаково степени проявить себя и внести вклад в ход разработки. Более того, данная концепция является смесью из представлений и взглядов нескольких людей, что делает дальнейшую разработку очень увлекательной для каждого члена команды. Суть проекта: Проект представляет собой динамичную и весьма сложную игру в жанре roguelike, где игрок, исследуя случайно сгенерированные подземелья и сталкиваясь с опытными врагами, каждый раз будет начинать сначала, пока не достигнет достаточного уровня мастерства, чтобы пройти через все ловушки и трудности, оставленные разработчиками. Продуманная боевая система будет держать игрока в постоянном напряжении, а случайные игровые события, которые в той или иной степени влияют на мир, не дадут заскучать.

Используемые технологии:

● Unity, как основной игровой движок

● Blender для редактирования игровых моделей

● Gimp для создания текстур и дизайна

● Trello — agile-kanban система для контроля процесса разработки","Организовать слаженную команду, готовую к работе при любых условиях, участники которой поровну разделят работу над проектом, создать MVP, чтобы создать базу для дальнейшей разработки и продемонстрировать идею для kickstarter площадо MVP игры - готовая генерация первой локации, несколько противников,частично реализованная боевая система, несколько предметов, случайные события, пара саундтреков","разработка roguelike игры для ПК Данный проект нацелен на улучшение командного взаимодействия, получение нужных компетенций участниками команды для дальнейшего развития и создания оригинальных игр. Для данных целей был выбран жанр roguelike, который так удачно сочетает в себе все аспекты игровой разработки практически в равной степени, что позволит всем участникам нашей команды, каждый из которых имеет свою роль и специализацию, одинаково степени проявить себя и внести вклад в ход разработки. Более того, данная концепция является смесью из представлений и взглядов нескольких людей, что делает дальнейшую разработку очень увлекательной для каждого члена команды. Суть проекта: Проект представляет собой динамичную и весьма сложную игру в жанре roguelike, где игрок, исследуя случайно сгенерированные подземелья и сталкиваясь с опытными врагами, каждый раз будет начинать сначала, пока не достигнет достаточного уровня мастерства, чтобы пройти через все ловушки и трудности, оставленные разработчиками. Продуманная боевая система будет держать игрока в постоянном напряжении, а случайные игровые события, которые в той или иной степени влияют на мир, не дадут заскучать.

Используемые технологии:

● Unity, как основной игровой движок

● Blender для редактирования игровых моделей

● Gimp для создания текстур и дизайна

● Trello — agile-kanban система для контроля процесса разработки Организовать слаженную команду, готовую к работе при любых условиях, участники которой поровну разделят работу над проектом, создать MVP, чтобы создать базу для дальнейшей разработки и продемонстрировать идею для kickstarter площадо MVP игры - готовая генерация первой локации, несколько противников,частично реализованная боевая система, несколько предметов, случайные события, пара саундтреков"
8,"Программа по обработке фотографий, выполняемых при ортодонтической диагностике, создание базы данных.",,"Создание единого фотоальбома для пациента: удобство в обработке, хранении фотографий и оценка динамического наблюдения пациента в процессе лечения. Создание единого комплекса модулей для обработки, хранения и динамического наблюдения ортодонтических пациентов. Электронная библиотека каждого пациента. Данный продукт позволит усовершенствовать диагностический процесс ортодонтического лечения, централизация всех данных пациентов в одной системе даст возможность делать квалифицированное заключение о клиническом статусе пациента.","Программа по обработке фотографий, выполняемых при ортодонтической диагностике, создание базы данных.  Создание единого фотоальбома для пациента: удобство в обработке, хранении фотографий и оценка динамического наблюдения пациента в процессе лечения. Создание единого комплекса модулей для обработки, хранения и динамического наблюдения ортодонтических пациентов. Электронная библиотека каждого пациента. Данный продукт позволит усовершенствовать диагностический процесс ортодонтического лечения, централизация всех данных пациентов в одной системе даст возможность делать квалифицированное заключение о клиническом статусе пациента."
9,Deep Learning as a Service,"С прошлого семестра разрабатываем DLaaS-решение, в котором наши потенциальные клиенты и заказчики смогут развернуть свои нейросети/матмодели для демонстрации и/или продажи своим клиентам. На данный момент у нас практически готов MVP (минимальный жизненный продукт), который практически готов к демонстрационному лэндингу. Сейчас отсутствует проектная документация по сервису, не подготовлена дорожная карта для продукта, не прописано дальнейшее развитие проекта. В рамках этого семестра по проекту планируется подготовка решения (пока только API) к лэндингу (подкрутить CI/CD, переехать в гитлаб, систематизировать работу команды, доработать существующий бэкенд), выявить возможных партнеров и заказчиков, наладить с ними контакты; подготовиться к выходу на инвестиционные фонды и подготовиться к подаче на различные гранты.","Подготовить DLaaS решение. Развернутое API, готовое к интеграции; 
● Подготовленная проектная документация по сервису; 
● Оформленная дорожная карта продукта; 
● Первые выходы на единичных заказчиков в режиме тестового лендинга 
● Выдвижение и проверка маркетинговых гипотез, связанных с дальнейшим лэндингом.","Deep Learning as a Service С прошлого семестра разрабатываем DLaaS-решение, в котором наши потенциальные клиенты и заказчики смогут развернуть свои нейросети/матмодели для демонстрации и/или продажи своим клиентам. На данный момент у нас практически готов MVP (минимальный жизненный продукт), который практически готов к демонстрационному лэндингу. Сейчас отсутствует проектная документация по сервису, не подготовлена дорожная карта для продукта, не прописано дальнейшее развитие проекта. В рамках этого семестра по проекту планируется подготовка решения (пока только API) к лэндингу (подкрутить CI/CD, переехать в гитлаб, систематизировать работу команды, доработать существующий бэкенд), выявить возможных партнеров и заказчиков, наладить с ними контакты; подготовиться к выходу на инвестиционные фонды и подготовиться к подаче на различные гранты. Подготовить DLaaS решение. Развернутое API, готовое к интеграции; 
● Подготовленная проектная документация по сервису; 
● Оформленная дорожная карта продукта; 
● Первые выходы на единичных заказчиков в режиме тестового лендинга 
● Выдвижение и проверка маркетинговых гипотез, связанных с дальнейшим лэндингом."
10,Игровой модуль для курса «Теория вероятностей и мат.статистика»,"Низкий уровень знаний абитуриентов в разделах статистики и вероятности приводит к проблемам при освоении соответствующих разделов университетской программы, которые, зачастую, отражаются и на последующей профессиональной деятельности выпускника (в сфере финансов, производства, науки, медицины и пр.). При этом традиционные формы обучения теории вероятностей и мат.статистике, как правило, отличаются низким уровнем наглядности, мотивированности и вовлеченности обучающихся, трудны для самостоятельного (дистанционного, заочного) освоения. 
В данном проекте предлагается создать комплекс обучающих игр, основанных на наборе разноуровневых математических задач, покрывающих необходимые разделы теории вероятностей и математической статистики. Игрофикация процесса сделает образовательный процесс интересным и доступным каждому студенту и позволит по индивидуальной траектории освоить основы математического аппарата для работы со случайными величинами и анализа данных.
Реализовать проект предполагается в виде мобильного приложения в связке с онлайн-сервисом. При разработке рекомендуется использовать инструменты с открытым исходным кодом и/или со свободными лицензиями.
","Создание комплекса обучающих игр как формы реализации курса по теории вероятностей и математической статистике для создания прочного математического фундамента, применимого в сферах машинного обучения и анализа данных.   Мобильное/настольное приложение или онлайн-сервис.","Игровой модуль для курса «Теория вероятностей и мат.статистика» Низкий уровень знаний абитуриентов в разделах статистики и вероятности приводит к проблемам при освоении соответствующих разделов университетской программы, которые, зачастую, отражаются и на последующей профессиональной деятельности выпускника (в сфере финансов, производства, науки, медицины и пр.). При этом традиционные формы обучения теории вероятностей и мат.статистике, как правило, отличаются низким уровнем наглядности, мотивированности и вовлеченности обучающихся, трудны для самостоятельного (дистанционного, заочного) освоения. 
В данном проекте предлагается создать комплекс обучающих игр, основанных на наборе разноуровневых математических задач, покрывающих необходимые разделы теории вероятностей и математической статистики. Игрофикация процесса сделает образовательный процесс интересным и доступным каждому студенту и позволит по индивидуальной траектории освоить основы математического аппарата для работы со случайными величинами и анализа данных.
Реализовать проект предполагается в виде мобильного приложения в связке с онлайн-сервисом. При разработке рекомендуется использовать инструменты с открытым исходным кодом и/или со свободными лицензиями.
 Создание комплекса обучающих игр как формы реализации курса по теории вероятностей и математической статистике для создания прочного математического фундамента, применимого в сферах машинного обучения и анализа данных.   Мобильное/настольное приложение или онлайн-сервис."
